Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2016.07.27,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,Injured,N,"Nurse shark, 4'"
2016.07.26,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,No injury,N,
2016.07.24,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,Injured,N,
2016.07.23.b,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,No injury,N,
2016.07.23.a,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,Injured,N,"Bull shark, 6'"
2016.07.20,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,Injured,N,"reef shark, 1m"
2016.07.17,2016,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,0,No injury,N,"Tiger shark, 10' "
2016.07.16.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,Injured,N,
2016.07.16.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,F,Injured,N,
2016.07.15,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,Injured,N,
2016.07.14.4,2016,Unprovoked,BAHAMAS,,Tiger Beach,Scuba Diving,M,Injured,N,"Lemon shark, 9'"
2016.07.08.R,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,Injured,N,Angel shark
2016.07.08,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,No injury,N,White shark
2016.07.07.a,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,No injury,N,White shark
2016.07.06,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,Injured,N,
2016.07.04,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,Injured,N,Tawny nurse shark
2016.06.27,2016,Unprovoked,USA,South Carolina,Sullivan's Island,,M,Injured,N,3' to 4' shark
2016.06.25,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,Injured,N,
2016.06.24,2016,Unprovoked,COLUMBIA,Isla Provedencia,,Scuba Diving,M,Severed,N,"Caribbean reef shark, 4.5'"
2016.06.23,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,Injured,N,White shark
2016.06.21.b,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,Injured,N,3' to 5' shark
2016.06.21.a,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,Injured,N,
2016.06.15.b,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,Injured,N,3' to 4' shark
2016.06.15.a,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,No injury,N,5' shark
2016.06.14,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,Injured,N,3' to 4' shark
2016.06.11,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,Injured,N,3' shark
2016.06.05.b,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,Bitten,N,
2016.06.05.a,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,Fatal,Y,3+ m shark
2016.06.04,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,Severed,N,Mako shark
2016.06.02.b,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,No injury,0,Bronze whaler sharks x 3
2016.06.02.a,2016,Unprovoked,NEW CALEDONIA,," Côte-Blanche, Nouméa ",Kite surfing,M,Injured,N,3 m shark
2016.05.31,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,Fatal,Y,White shark
2016.05.29.b,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,Injured,N,
2016.05.29.a,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,Injured,N,5' shark
2016.05.22,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,Injured,N,
2016.05.21.b,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,Injured,N,"Bull shark, 4' to 5'"
2016.05.21.a,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,Injured,N,
2016.05.18,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,Bitten,N,"Blacktip shark, 4'"
2016.05.15,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,Unknown,N,"Nurse shark, 2'"
2016.05.03,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,Injured,N,
2016.05.02,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,Bitten,N,"Mako shark, 1.5 m [5'] "
2016.04.25,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,Bitten,N,"Bull shark, 6'"
2016.04.23,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2016.04.22,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,No injury,N,White shark
2016.04.19,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,Injured,N,Wobbegong shark
2016.04.18,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,Severed,N,"Grey reef shark, 2 m"
2016.04.13,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,Bitten,N,"Bull shark, 7'"
2016.04.09,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,Fatal,Y,"Tiger shark, 2.5 m"
2016.04.07.b,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,Bitten,N,5' to 6' shark
2016.03.31,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,Injured,N,
2016.03.30,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,Severed,N,
2016.03.28.b,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",,M,Injured,N,Shark involvement not confirmed
2016.03.28.a,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,No injury,N,
2016.03.26,2016,Provoked,BAHAMAS,,,,M,Injured,N,"Nurse shark, 2.5-ft"
2016.03.11,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,Injured,N,
2016.03.10,2016,Unprovoked,Fiji,Vanua Levu,,Diving for beche-de-mer,M,Fatal,Y,
2016.03.04,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,Injured,N,
2016.03.03.R,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,Injured,N,Bronze whaler
2016.03.02,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,Injured,N,Sandtiger shark
2016.02.22,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,Injured,N,
2016.02.19,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,M,Bitten,N,
2016.02.12,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,F,Injured,N,
2016.02.05,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,Injured,N,
2016.02.04,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,No injury,N,
2016.01.29,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,,Kayak fishing,M,No injury,N,
2016.01.28,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,Injured,N,"Reef shark, 5'"
2016.01.25,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,No injury,N,
2016.01.24.b,2016,Unprovoked,USA,Texas,Off Surfside,Spearfishing,M,Injured,N,Bull sharks x 2
2016.01.24.a,2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,M,No injury,N,Mako shark
2016.01.23,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,No injury,N,"Tiger shark, 14'"
2016.01.11.R,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,Injured,N,Wobbegong shark
2016.01.05,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,Injured,N,Blacktip shark
2016.01.02,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,Injured,N,3 m shark
2015.12.26,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,M,No injury,N,"White shark, 3 m"
2015.12.25,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,Injured,N,"Silky shark, 6.5'"
2015.12.22,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,No injury,N,9' shark
2015.12.21.b,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,No injury,N,"Bronze whaler shark, 6'"
2015.12.21.a,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,M,Severed,N,"Tiger shark, 1.5 m "
2015.12.19,2015,Unprovoked,ARUBA,,Boat capsized,Sea disaster,M,Fatal,Y,
2015.12.13,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,0,No injury,N,"White shark, 3.5 m"
2015.12.11,2015,Unprovoked,BAHAMAS,,Off Andros Island,Lobster fishing,M,Bitten,N,Bull shark
2015.12.08,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,Injured,N,
2015.11.16,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,Injured,N,
2015.11.15.b,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,Injured,N,
2015.11.15.a,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,Injured,N,"Spinner shark, 7'"
2015.11.10,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,Injured,N,"Bull shark, 2.8 to 3.1 m"
2015.11.03,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,Injured,N,
2015.11.01.b,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,Injured,N,3' to 5' shark
2015.11.01.a,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,Severed,N,
2015.10.30,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,Injured,N,
2015.10.28.a,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,Injured,N,
2015.10.25,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,Injured,N,"White shark, 3 to 3.5m "
2015.10.21,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,Injured,N,5' shark
2015.10.19,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,Bitten,N,"Spinner shark, 5'"
2015.10.17.c,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,Fatal,Y,
2015.10.17.a,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,Injured,N,"Tiger shark, 7'"
2015.10.13,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,M,No injury,N,Hammerhead sp.
2015.10.09.b,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,Injured,N,
2015.10.09.a,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,Severed,N,"Tiger shark, 13' "
2015.10.08,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,Severed,N,
2015.10.07,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,Injured,N,
2015.10.05.b,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,Injured,N,
2015.10.05.a,2015,Unprovoked,USA,Texas,Galveston,Wading,M,Bitten,N,4' to 5' shark
2015.10.04,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Severed,N,"Blacktip shark, 4' to 5'"
2015.09.29,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,Injured,N,"Blacktip shark, 5' to 6'"
2015.09.26,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,Injured,N,
2015.09.24,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,M,No injury,N,"White shark, 19'"
2015.09.20.d,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,juvenile shark
2015.09.20.c,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,Severed,N,"Tiger shark, 13'"
2015.09.20.b,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,Injured,N,4' shark
2015.09.20.a,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,Injured,N,
2015.09.18,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,Injured,N,
2015.09.17,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,Injured,N,
2015.09.08,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,Injured,N,6' shark
2015.09.06,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,No injury,N,"White shark, 11' to 12'"
2015.09.05,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,Injured,N,Hammerhead shark.
2015.09.04,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,M,Injured,N,"White shark, 2.5 m"
2015.09.03,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,M,Bitten,N,4' shark?
2015.09.01,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,F,Bitten,N,small shark
2015.09.00,2015,Unprovoked,FIJI,,,Spearfishing,M,Bitten,N,Tiger shark
2015.08.29.b,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,No injury,N,"White shark, 11' to 12'"
2015.08.29.a,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,No injury,N,"White shark, 10' to 12' "
2015.08.22.a,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,Severed,N,
2015.08.20,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,Injured,N,4' shark
2015.08.19,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,Injured,N,3' shark
2015.08.18.b,2015,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,M,No injury,N,"White shark, 13'"
2015.08.10,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,Bitten,N,Hammerhead shark. 6' to 7'
2015.07.31,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,Injured,N,White shark
2015.07.26.b,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,Injured,N,"Blacktip or spinner shark, 4'"
2015.07.25,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,Fatal,Y,White shark
2015.07.23.b,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,No injury,N,"Mako shark, 100-lb"
2015.07.23.a,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,Bitten,N,"Bronze whaler shark, 1.5m"
2015.07.22,2015,Unprovoked,REUNION,,St. Leu,Surfing,M,Bitten,N,"Bull shark, 2m"
2015.07.19,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,No injury,N,White shark
2015.07-10,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,No injury,N,"White shark, 7'"
2015.07.04.b,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,Injured,N,6' shark
2015.07.04.a,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",,M,Injured,N,
2015.07.03,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,No injury,N,White shark
2015.07.02,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,M,Injured,N,White shark
2015.07.01,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,Injured,N,6' to 7' shark
2015.06.30.b,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,Bitten,N,
2015.06.30.a,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,Injured,N,4' to 5' shark
2015.06.27.b,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,Injured,N,Bull shark
2015.06.27.a,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,Severed,N,White shark
2015.06.26.b,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,Injured,N,"White shark, 2m to 3 m"
2015.06.26.a,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,Injured,N,4' shark
2015.06.25.R,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,Injured,N,Wobbegong shark
2015.06.25,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,Injured,N,
2015.06.24.b,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,Injured,N,Sandtiger shark
2015.06.23,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,Injured,N,small shark
2015.06.19,2015,Unprovoked,PUERTO RICO,,Off Cabo Rojo,Spearfishing,M,Injured,N,
2015.06.17,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,Injured,N,
2015.06.14.b,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,Severed,N,Bull shark
2015.06.14.a,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,Severed,N,Bull shark
2015.06.13,2015,Unprovoked,USA,California,Off San Diego,,F,Severed,N,Mako shark
2015.06.11,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,Injured,N,4' shark
2015.06.07,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,Injured,N,"Bull shark, 5'"
2015.06.05,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,Injured,N,small nurse shark
2015.06.01,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,Bitten,N,"Bull shark, 2.5 m"
2015.05.29.b,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,Bitten,N,
2015.05.29.a,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,Injured,N,
2015.05.25,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,M,Injured,N,1m to 1.2 m shark
2015.05.24,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,Injured,N,
2015.05.20,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,5' shark
2015.05.15,2015,Unprovoked,USA,South Carolina,Sullivan's Island,,M,Injured,N,6' shark
2015.05.09,2015,Unprovoked,NEW CALEDONIA,,Kouare ,Snorkeling,M,Fatal,Y,"Bull shark, 3.5 m"
2015.05.07,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,Injured,N,
2015.05.03,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,Injured,N,White shark
2015.05.02,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,Injured,N,"White shark, 3.5 m"
2015.04.29,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,Fatal,Y,
2015.04.26,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,Injured,N,3- to 4-foot shark
2015.04.25,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,Severed,N,"White shark, 6 m"
2015.04.24.c,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,No injury,N,"White shark, 3 m"
2015.04.13,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,Injured,N,"Blue shark, 8 to 9 feet"
2015.04.11,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,Injured,N,
2015.04.12,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,Fatal,Y,Bull shark
2015.04.03,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,Injured,N,Bull shark
2015.03.26,2015,Boat,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,No injury,N,"White shark, 4 m"
2015.03.21,2015,Unprovoked,EGYPT,,Marsa Alam,Swimming,M,Fatal,Y,Mako shark
2015.03.18,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,Injured,N,"Tiger shark, 8 to 12 feet"
2015.03.16,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,Bitten,N,Blacktip shark
2015.03.11,2015,Boat,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,Injured,N,
2015.03.10,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,Bitten,N,
2015.03.07,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,Bitten,N,Blacktip Reef shark 
2015.02.15,2015,Boat,ATLANTIC OCEAN,,,Transatlantic Rowing,0,No injury,N,White shark
2015.02.14,2015,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Swimming,F,Fatal,Y,"Tiger shark, 3.5 m"
2015.02.09,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,Fatal,Y,3.5 to 4 m shark
2015.02.08,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,Injured,N,2 m to  3 m shark
2015.02.05,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,Injured,N,1.8 m shark
2015.01.30,2015,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,No injury,N,"Bull shark, 1.3 m"
2015.01.27,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,Injured,N,4' shark
2015.01.24,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,No injury,N,
2015.01.19.b,2015,Boat,USA,Florida,Off Panama City,Fishing,M,No injury,N,White shark
2015.01.17,2015,Boat,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,No injury,N,5 m shark
2015.01.16,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,Bitten,N,1.5 m shark
2015.01.06,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,Severed,N,White shark or oceanic whitetip shark
2015.01.03,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,Injured,N,"Raggedtooth shark, 1.3 m"
2015.01.01,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",,M,Bitten,N,"""A small shark"""
2014.12.29.b,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,0,Injured,N,2 m shark
