,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
4841,1929.04.26.R,1929,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for trepang,M,Thigh bitten,N,"Northern Standard (Dawin), 4/26/1929",apr
4842,1929.04.17.R,1929,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for trochus,M,Lacerations to right wrist,N,"Brisbane Courier, 4/19/1929",apr
4843,1929.04.11,1929,Provoked,AUSTRALIA,Queensland,"Bribie Passage, Caloundra",Standing in knee-deep water,M,Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,N,"Brisbane Courier, 4/12/1929; Coppleson (1933)",apr
4844,1929.04.09,1929,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,,M,FATAL,Y,"G.P. Whitley, citng R.S.M.A.C.",apr
4845,1929.04.04,1929,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,Swimming between boats,M,FATAL,Y,"V.M. Coppleson (1958), p.242 ",apr
4846,1929.03.16,1929,Unprovoked,USA,Florida,"Sea Spray, Palm Beach",Swimming,M,Right sole & toes lacerated,N,"New York Herald Tribune, 3/17/1929 edtion; H. Monsen, L. Green",mar
4847,1929.03.12,1929,Unprovoked,AUSTRALIA,Torres Strait,Near Dauan Island,Bathing,M,FATAL,Y,"G.P. Whitley; J. Green, p.32; V.M. Coppleson (1958), p.242",mar
4848,1929.03.04.b,1929,Unprovoked,AUSTRALIA,South Australia,Ardrossan,Launching rowboat through the surf,M,Foot bitten,N,"Barrier Miner, 3/5/1929",mar
4849,1929.03.04.a,1929,Unprovoked,AUSTRALIA,South Australia,Ardrossan,Launching rowboat through the surf,M,Legs bitten,N,"Barrier Miner, 3/5/1929",mar
4850,1929.02.18,1929,Unprovoked,AUSTRALIA,New South Wales,Maroubra Bay,Body surfing,M,"FATAL, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",Y,"V.M. Coppleson.N12. (1933); V.M. Coppleson (1958), pp.64 & 231; A. Sharpe, pp.63-64",feb
4851,1929.02.09,1929,Boat,AUSTRALIA,Western Australia,Glenelg,Canoeing,,"No injury, shark pushed canoe from jetty to a point 100 m away",N,"The Mail, 2/9/1929; G.P. Whitley;  SAF Case #505",feb
4852,1929.02.08,1929,Unprovoked,AUSTRALIA,New South Wales,Bondi,Swimming,M,"FATAL, right thigh bitten, femoral artery severed",Y,"V. M. Coppleson.N11. (1933); J. Green, p.32; A. Sharpe, p.62",feb
4853,1929.01.27,1929,Unprovoked,AUSTRALIA,Queensland,"Alma Bay, Magnetic Island, Townsville",Swimming,M,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Y,"V.M. Coppleson.Q.6. (1933); V.M. Coppleson (1958), pp. 90 & 237; G.A. Llano, pp.169-170",jan
4854,1929.01.14,1929,Unprovoked,NEW ZEALAND,North Island,"Miranda Head, Hauriki Gulf",Bathing,F,"One was bitten on the leg, the other on the arm",N,"Argus, 1/15/1929",jan
4855,1929.01.12,1929,Unprovoked,AUSTRALIA,New South Wales,Bondi,Body surfing,M,"FATAL, right thigh & hip bitten",Y,"V.M. Coppleson.N9. (1933); V.M. Coppleson (1958), pp.64 & 231 ; A. Sharpe, p.59-62",jan
4856,1929.01.06.R,1929,Boat,TURKEY,,San Stefano,Fishing boat,M,FATAL,Y,"C. Moore, GSAF",jan
4857,1929.01.05,1929,Unprovoked,FIJI,Viti Levu Island,Suva Harbor,Diving for coins thrown from ship S.S. Moeraki,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,"V.M. Coppleson (1962), p.253, possibly GSAF 1925.00.00",jan
4863,1928.12.21,1928,Unprovoked,AUSTRALIA,,,Pearl diving,M,Injuries to arm ,N,"V.M. Coppleson (1958), p.242",dec
4864,1928.11.18,1928,Provoked,USA,New Jersey,"Seabright, Monmouth County",Fishing,M,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",N,NY Herald Tribune,nov
4865,1928.11.15.R,1928,Boat,INDIA,,,,M,"No injury to occupants, shark bit keel",N,"Sun Herald, 11/15/1938",nov
4866,1928.11.12,1928,Sea Disaster,USA,Virginia,"200 miles off Hampton Roads, Virginia, USA","Sea Disaster, sinking of the  SS Vestris",M,FATAL,Y,"Havre Daily News Promoter, 11/20/1928; TIME Magazine, 11/28/1928",nov
4868,1928.09.00,1928,Unprovoked,USA,Texas,Corpus Christi,Fishing,M,Knee bitten,N,"Galveston Daily News, 12/7/1929",sep
4869,1928.08.24.R,1928,Invalid,USA,New Jersey,Off shore,,M,Thumb & coat sleeve recovered from shark's gut,UNKNOWN,"Decatur Evening Herald, 8/24/1928 ",aug
4870,1928.07.11,1928,Unprovoked,AUSTRALIA,,,Pearl diving,M,Injuries to chest,N,"V.M. Coppleson (1958), p.242",jul
4871,1928.07.00,1928,Provoked,ITALY,Tuscany,Viareggio,Boating,M,"No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT",N,A. De Maddalena; Gianturco (1978),jul
4872,1928.06.24.R,1928,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,M,Bitten on leg,N,"Ludington Daily News, 6/24/1928",jun
4873,1928.05.17,1928,Invalid,INDIA,,,,M,No details,UNKNOWN,"H.D. Baldridge (1994) SAF Case #1595, questioned authenticity of this incident",may
4874,1928.04.14.R,1928,Unprovoked,AUSTRALIA,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",Fishing,M,Severe lacerations to arm,N,"The Western Champion, 4/14/1928",apr
4876,1928.04.09,1928,Unprovoked,JAMAICA,,"Coal wharf, Port Royal",Diving,M,FATAL,Y,"Kingston Gleaner, 4/11/1928",apr
4877,1928.04.06,1928,Unprovoked,AUSTRALIA,Queensland,Graceville,Bathing,M,Lacerations to right leg ,N,"Brisbane Courier, 5/8/1928",apr
4878,1928.04.04,1928,Unprovoked,AUSTRALIA,New South Wales,"Cooks Hill, Newcastle",Standing in waist-deep water,M,"FATAL, right hand severed, large lacerations on thigh",Y,"V.M. Coppleson.N18. (1933); V.M. Coppleson (1958), pp.76 & 231; A. Sharpe, pp.83-84; G.A. Llano, pp.166-167",apr
4879,1928.03.28.R,1928,Unprovoked,AUSTRALIA,Queensland,,,M,Hip bitten,N,"Townsville Daily Bulletin, 3/28/1928",mar
4880,1928.02.20,1928,Unprovoked,AUSTRALIA,Torres Strait,"Near Barrow Point, Queensland",Pearl diving,M,FATAL,Y,"Townsville Daily Bulletin, 2/28/1928",feb
4881,1928.02.00.b,1928,Unprovoked,COSTA RICA,Near Puntarenas,,Swimming,F,Right leg severely lacerated. Surgically amputated,N,"Gleaner (Jamaica), 3/7/1928",feb
4882,1928.02.00.a,1928,Unprovoked,COSTA RICA,Near Puntarenas,,Swimming,M,Right leg & hand severely lacerated,N,"Gleaner (Jamaica), 3/7/1928",feb
4883,1928.01.27,1928,Unprovoked,AUSTRALIA,Torres Strait,Deliverance Island,Retrieving meat from a cage in the water,M,FATAL,Y,"Portland Guardian, 12/10/1934",jan
4884,1928.01.21.b,1928,Invalid,USA,Florida,,Swimming,,Body not recovered ,Y,H.D. Baldridge (1994) SAF Case #838,jan
4886,1928.01.02,1928,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Salt Vlei, Port Alfred",,F,Leg lacerated,N,"M. Levine, GSAF; Natal Mercury, 1/4/1928",jan
4887,1928.01.00,1928,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River mouth,Body surfing,M,Foot bitten,N,"P.D. Lynch, M. Levine, GSAF",jan
4889,1927.12.28,1927,Unprovoked,SOUTH AFRICA,Western Cape Province,Little Brak River,Swimming,M,"FATAL, leg bitten  ",Y,M. Levine & C. Fourie,dec
4890,1927.11.03,1927,Sea Disaster,AUSTRALIA,New South Wales,"Bradleys Head, Sydney ",The steamer Tahiti collided with the ferry Greycliffe,,40 people perished,Y,"Oakland Tribune, 8/16/1930",nov
4891,1927.10.25,1927,Sea Disaster,BRAZIL,Porto Seguro,90 miles off Albrohos Island,Italian liner Principessa Mafalda sank,,"Of 1256 on board, 295 perished, some were taken by sharks",Y,"L. Schultz & M. Malin, p.557; SAF Case #833",oct
4892,1927.10.12,1927,Unprovoked,AUSTRALIA,New South Wales,"Kiah Creek, Eden",Riding horseback across the creek,M,No injury to man or horse,N,"Advertiser, 10/14/1927; V.M. Coppleson (1933); G.P. Whitley",oct
4893,1927.10.00,1927,Unprovoked,FIJI,,a river,"Standing, collecting bananas",M,Leg bitten. He survived,N,"The Methodist, 3/13/1937",oct
4894,1927.07.03,1927,Boat,AUSTRALIA,New South Wales,Bellambi Reef,,,"No injury to occupants, boat was bumped & lifted 2' out of the water by the shark",N,"G.P. Whitley; V.M. Coppleson (1933); Note: V.M. Coppleson (1958), p.185, also describes the same incident, listing a date of July 1937 ",jul
4895,1927.05.29,1927,Sea Disaster,PHILIPPINES,Luzon Island,Bondoc Peninsula,Sea disaster,," 55  perished, some were  taken by sharks",Y,"The Times (London), 6/2/1927 ",may
4897,1927.04.10,1927,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,M,Extensive injuries to left leg,N,"J. Green, p.32; Bartlett, p. 160; V.M. Coppleson (1958), p.242",apr
4898,1927.04.08,1927,Unprovoked,AUSTRALIA,Queensland,Near Thursday Island,Pearl diving,M,Leg injured,N,"J. Green, p.32; V.M. Coppleson (1958), p.241",apr
4899,1927.03.01,1927,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Body surfing / treading water,M,"Right buttock & thigh bitten, thumb removed",N,"V.M. Coppleson.N17. (1933); V.M. Coppleson (1958), p.76 & 231; G.A. Llano, p.165",mar
4900,1927.02.14,1927,Provoked,NICARAGUA,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",Feeling the sharks teeth,M,"Sharkss jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",N,"G.A. Llano, p.178",feb
4901,1927.02.09,1927,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Attempting to rescue drowning man,M,"No injury, but trouser leg shredded by shark",N,"Northern Territory Times & Gazette, 2/11/1927",feb
4902,1927.02.00,1927,Provoked,NEW ZEALAND,South Island,"Menzies Bay, Banks Peninsula, ",Fishing,M,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,N,"R.D. Weeks, GSAF; V.M. Coppleson (1958), p.263; SAF #328",feb
4903,1927.01.20,1927,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kidds Beach,Body surfing,M,Both thighs  lacerated,N,"M. Levine, GSAF",jan
4904,1927.01.08.R,1927,Unprovoked,USA,California,"Catalina Channel, Los Angeles County",Swimming,M,Lost hand,N,"The Afro-American, 1/8/1927",jan
4905,1927.01.03,1927,Unprovoked,AUSTRALIA,New South Wales,"Greys Point, Port Hacking",Swimming,M,"FATAL, leg bitten from thigh to ankle",Y,"V.M. Coppleson.N.21.(1933); V.M. Coppleson (1958), p.230; NYTimes, 1/5/1927",jan
4908,1926.12.02.R,1926,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,Diving for trochus,M,FATAL,Y,"Brisbane Courier, 12/3/1926",dec
4909,1926.11.17,1926,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,M,Arm injured,N,"J. Green, p.32; V.M. Coppleson (1958), p.241",nov
4910,1926.10.29.R,1926,Unprovoked,PAPUA NEW GUINEA,Central Province,Roku Point,Jumped into the water,M,"FATAL, abdomen bitten",Y,"Cairns Post, 10/29/1926",oct
4911,1926.10.23.b,1926,Unprovoked,AUSTRALIA,New South Wales,Clarence River,Bathing,M,"3"" laceration to leg",N,"Barrier Miner, 10/25/1926",oct
4912,1926.10.23.a,1926,Sea Disaster,BERMUDA,,18 miles southwest of Bermuda ,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,,"Of 104 people in the water, only 20 survived. 84 people were lost, many to sharks. Sharks 2 pulled crew off life rafts",N,"New York Herald Tribune, 10/29/1926",oct
4913,1926.09.06.R,1926,Unprovoked,PAPUA NEW GUINEA,,Near Port Moresby,Jumped out of canoe,M,FATAL,Y,"Barrier Miner, 9/6/1926",sep
4914,1926.08.24,1926,Unprovoked,USA,New Jersey,"Seaside, Ocean County",Swimming,M,FATAL,Y,"Washington Post 8/25/1926; L. Schultz & M. Malin, p.531",aug
4915,1926.07.23,1926,Unprovoked,ITALY,Golfo di Genova in the Ligurian Sea,Varazze,Swimming,M,"FATAL, body was not recovered",Y,"NY Herald Tribune, 7/25/1926; A. De Maddalena; Anon. (1926a), Anon. (1926b); C. Moore, GSAF",jul
4916,1926.07.12,1926,Boat,USA,New Jersey,20 miles off Seabright,Fishing,M,No injury to occupants,N,"Evening Sun, undated clipping",jul
4917,1926.07.08,1926,Unprovoked,USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,M,Leg & hand lacerated and dog bitten,N,"D. Miller & R. Collier, R. Collier, p. __; V.M. Coppleson (1958), pp. 156 & 252; [SAF Case #215]",jul
4918,1926.07.03,1926,Invalid,SPAIN,Sants-Montjic,"Casa Antunez Beach, Barcelona",Bathing,M,No injury,N,"C. Moore, GSAF",jul
4919,1926.05.18,1926,Unprovoked,USA,Hawaii,"Hale'iwa, O'ahu",Swimming,M,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",Y,"G.H. Balazs & A.K.H. Kam; J. Borg, p.70; L. Taylor (1993), pp.96-97",may
4920,1926.04.22,1926,Unprovoked,SOUTH ATLANTIC OCEAN,South of the Equator ,Steamship bound from Cape Town to Philadelphia,Fell overboard from SS Ripley Castle,M,When taken back on board 2 hours later both legs were bleeding from shark bites,N,"New York Times, 4/28/1926 ",apr
4921,1926.04.07,1926,Unprovoked,USA,Hawaii,"Hilo Bay Yacht Club, Hilo, Hawai'i",Swimming,F,Right leg bitten thigh to heel,N,"New York Tribune, 8/9/1953;  V.M. Coppleson (1958), p.260;  G.H. Balazs & A.K.H. Kam; J. Borg, p.70",apr
4922,1926.03.17,1926,Unprovoked,AUSTRALIA,South Australia,"West Beach, Brighton",Swimming ,F,FATAL,Y,"V.M. Coppleson.S1.(1933); V.M. Coppleson (1958), pp.107 & 240; A. Sharpe, pp.119-120",mar
4923,1926.01.26,1926,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Hamburg,Swimming,M,Thigh lacerated,N,"M. Levine, GSAF",jan
4924,1926.01.00,1926,Unprovoked,AUSTRALIA,Victoria,,,M,Leg lacerated,N,"V.M. Coppleson (1958), p.110",jan
4929,1925.11.22,1925,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Floating on his back,M,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",Y,"V.M. Coppleson.W2, (1933); V.M. Coppleson (1958), pp.111 & 241; West Australia, 1/5/1967;  A. Sharpe, pp.129-130; H. Edwards, pp.131-133",nov
4930,1925.11.00.b,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,,Laceration across abdomen,N,"V.M. Coppleson (1958), pp.48 & 265",nov
4931,1925.11.00.a,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,M,Both calves lacerated,N,"V.M. Coppleson (1958), pp.48 & 265",nov
4932,1925.09.04,1925,Provoked,SPAIN,Valencia ,Valencia,Fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,Chris Moore,sep
4933,1925.09.03,1925,Unprovoked,ENGLAND,Isle of Wight,Off Shanklin,Fishing,M,No injury but shark lifted boat out of the water,N,C. Moore,sep
4934,1925.08.02,1925,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Swimming,F,"Multiple lacerations on both thighs, right buttock and hip",N,E. M. Burton,aug
4935,1925.06.15,1925,Invalid,AUSTRALIA,Western Australia,"Princess Royal Harbor, near King Georges Sound",,,Human arm found in shark,UNKNOWN,"Geraldton Guardian, 6/18/1925 ",jun
4936,1925.05.00,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,M,"Right arm nearly severed at shoulder, left wrist lacerated",N,"V.M. Coppleson (1958), pp.48 & 265",may
4938,1925.03.12,1925,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,M,"FATAL, right forearm severed, lacerations from buttocks to heel L",Y,"V.M. Coppleson.N16.(1933) V.M. Coppleson (1958), pp.76 & 230",mar
4939,1925.03.10,1925,Unprovoked,PAPUA NEW GUINEA,Central Province,Hula,Swimming,M,FATAL,Y,"The Queenslander, 4/4/1925",mar
4940,1925.01.27.R,1925,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,M,Lacerations to arm,N,"Evening Independent, 1/27/1925",jan
4941,1925.01.08,1925,Unprovoked,CANADA,Vancouver,Second Narrows in Burrard Inlet,"Diving, repairing water main at depth of 90'",M,"Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",N,"ABCS; Manitoba Free-Press, 1/13/1925",jan
4943,1924.11.25,1924,Unprovoked,MEXICO,Tamaulipas,Tampico,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,FATAL,Y,"Indianapolis Star, 12/15/1924",nov
4944,1924.11.24,1924,Unprovoked,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,"Inebriated, woke from sleep and fell off deck into the water ",M,Knee bitten,N,Gorgas Hospital Records,nov
4945,1924.11.21,1924,Unprovoked,USA,Puerto Rico,Santurce,Bathing,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,"R. W. Kramer; V.M. Coppleson (1958), pp.48 & 264",nov
4946,1924.10.31.R,1924,Provoked,FRENCH POLYNESIA,Tuamotus,Rangiroa,Pearl diving,M,Abrasions PROVOKED ATTACK,N,F. O'Brien in Atolls of the Sea,oct
4947,1924.10.18,1924,Unprovoked,AUSTRALIA,Victoria,Port Melbourne,Bathing,M,Leg bitten,N,"Coppleson.V1. (1933); Melbourne Herald, 1/7/1925",oct
4948,1924.07.31,1924,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Standing,M,Left knee & leg bitten. (Tooth fragment recovered from kneecap),N,"E. M. Burton; E.W. Gudger (1935); V.M. Coppleson (1958), pp.152 & 252; J. Randall, p.350 in Sharks & Survival",jul
4949,1924.07.14,1924,Provoked,ENGLAND,Dorset,Weymouth,Fishing for mackerel,M,Arms broken by hooked shark PROVOKED INCIDENT,N,"C. Moore; The Times, 7/14/1924",jul
4950,1924.07.04,1924,Boat,USA,California,"Newport Beach, Orange County",Fishing,M,"No injury, shark tore hole in the side of the boat",N,"The Daily Pilot, 3/6/2010, citing The Times 7/5/1924)",jul
4951,1924.06.18,1924,Provoked,USA,Florida,"Bayboro, Pinellas County",Removing shark from a net,M,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,N,"Evening Independent, 6/19/1924",jun
4952,1924.04.25,1924,Unprovoked,AUSTRALIA,New South Wales,Kiama,"Fishing, fell in water & swimming strongly to shore",M,"FATAL, partial remains recovered ",Y,"V.M. Coppleson (1933); G.P. Whitley, p.266",apr
4953,1924.04.22,1924,Unprovoked,PANAMA,150 miles offshore,,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,"Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",N,"NY Times, 5/4/1924, p.14, col.3",apr
4954,1924.04.20,1924,Invalid,AUSTRALIA,Western Australia,Fremantle,Swimming ,M,Abrasions,N,"V.M. Coppleson (1933);  G.P. Whitley (1951), p.185, both considered it a ""doubtful attack""",apr
4955,1924.03.28.R,1924,Unprovoked,SOLOMON ISLANDS,Central Province,Savo Island,Swimming,M,"Left arm severed, leg bitten",N,"Cairns Post, 3/28/1924",mar
4956,1924.03.24,1924,Boat,SPAIN,Galica,Sisargas Islands,Fishing,,"No injury to occupants, shark bit boat",N,"C. Moore, GSAF",mar
4957,1924.02.13,1924,Unprovoked,AUSTRALIA,New South Wales,Bronte,Bathing in 5' of water,F,"Legs severely bitten, surgically amputated",N,"V.M. Coppleson.N6. (1933); V.M. Coppleson (1958), pp.63 & 230;  A. Sharpe, pp.57-58",feb
4958,1924.02.08,1924,Invalid,AUSTRALIA,Queensland,Currumbin,Bathing,M,Probable drowning & scavenging,UNKNOWN,11/02/1924,feb
4959,1924.01.29,1924,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Swimming,M,FATAL,Y,"M. Levine, GSAF",jan
4960,1924.01.25,1924,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"St. Georges Strand, Port Elizabeth",Swimming,M,Foot lacerated,N,"Eastern Province Herald, 1/28/1924, M. Levine, GSAF",jan
4961,1924.01.19,1924,Unprovoked,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,M,"FATAL, right thigh severely bitten, left arm lacerated ",Y,"V.M. Coppleson.N.2. (1933); V.M. Coppleson (1958), pp.69 & 230",jan
4962,1923.12.12,1923,Unprovoked,AUSTRALIA,New South Wales,"Murwillumbah, Tweed River",Swimming,M,Lacerations to leg,N,"Barrier Miner, 12/12/1923",dec
4963,1923.12.02,1923,Unprovoked,AUSTRALIA,New South Wales,"Urunga, Belliger Heads","Fishing, standing in waist-deep water",M,"FATAL, disappeared, thought to have been taken by a shark ",Y,"Sydney Morning Herald, 12/5/1923 ",dec
4964,1923.11.23,1923,Unprovoked,AUSTRALIA,Western Australia,"Condon, 88 km NE of Port Hedland",Dry shelling,M,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",Y,"Western Mail, 11/29/1923; V.M. Coppleson (1933); G.P. Whitley (1940), p.260;  G.P. Whitley (1951), p 185; A. Sharpe, p.129",nov
4965,1923.11.02,1923,Invalid,AUSTRALIA,New South Wales,Bellinger Head,Fishing,M,FATAL,Y,"V.M. Coppleson, p.452; G.P. Whitley",nov
4966,1923.10.20,1923,Invalid,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,M,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",Y,V.M. Coppleson (1933);,oct
4967,1923.10.17,1923,Boat,AUSTRALIA,New South Wales," Black Head, south of Taree",Fishing,,"No injury to occupants, shark bit boat",N,V.M. Coppleson (1933); SAF Case #494,oct
4968,1923.10.16,1923,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Pearl diving,M,"Arm severed, but survived",N,"V.M. Coppleson (1958), p.241; J. Green, p.32",oct
4969,1923.08.08,1923,Unprovoked,GUYANA,Demerara County,Off the Demerara River ,Fishing,M,Puncture wounds to left leg,N,"Gleaner (Jamaica), 9/6/1923",aug
4970,1923.07.02.R,1923,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for pearl,M,non-fatal,N,"Brisbane Courer, 7/2/1923",jul
4971,1923.06.16,1923,Boat,AUSTRALIA,New South Wales,Bellambi Reef,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,"FATAL, taken by shark. Two other men drowned,  only 1 man survived",Y,"V.M. Coppleson (1933); G. P. Whitley; V.M. Coppleson (1958), p.185",jun
4972,1923.06.06,1923,Boat,MEXICO,Vera Cruz,Outside Vera Cruz Harbor,Dismantling cable buoys of the cable ship All America,,"No injury to occupants, shark rammed boat",N,"NY Herald Tribune, undated clipping",jun
4973,1923.05.23.R,1923,Unprovoked,AUSTRALIA,Western Australia,"Southgates, near Geraldton",Wading,M,Minor puncture wounds to foot,N,"The West Australian, 5/23/1923",may
4974,1923.05.22,1923,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving?,M,FATAL,Y,"Northern Miner, 5/27/1923",may
4975,1923.03.18,1923,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Diving,M,Lacerations to right thigh and knee,N,"Northern Miner, 3/19/1923",mar
4976,1923.02.00,1923,Unprovoked,USA,Puerto Rico,San Juan,Swimming ,M,"Right calf, right side of abdomen & left wrist & hand bitten",N,"V.M. Coppleson (1958), pp.48 & 265",feb
4977,1923.01.27.b,1923,Invalid,AUSTRALIA,Western Australia,Bunbury,,M,Death may have been due to drowning,UNKNOWN,"The Register, 2/3/1923",jan
4978,1923.01.27.a,1923,Unprovoked,AUSTRALIA,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",Swimming,M,"FATAL, back of thigh bitten ",Y,"V.M. Coppleson.W1.(1933) V.M. Coppleson (1958), pp.111 & 241; A. Sharpe, p.129",jan
4979,1923.01.13,1923,Invalid,CUBA,Caribbean Sea,20 miles from Havana,seaplane Columbus ditched in the sea,M,"Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived",Y,"W.E., pp.152-156; L. Schultz & M. Malin, p.557",jan
