,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
43,2016.06.23,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,Injuries to left leg & right hand,N,"News 24, 6/23/2016",jun
44,2016.06.21.b,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,Lacerations and punctures to foot,N,"C. Creswell, GSAF",jun
45,2016.06.21.a,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,Injuries to right calf,N,"Florida Today, 6/22/2016",jun
46,2016.06.15.b,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,Single puncture wound to arm,N,"West Hawaii Today, 6/16/2016",jun
47,2016.06.15.a,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,"Perth Now, 6/16/2016",jun
48,2016.06.14,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,Injury to lower leg,N,"Click2Houston, 6/14/2016",jun
49,2016.06.11,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,Laceration to wrist,N,"C. Creswell, GSAF",jun
50,2016.06.07,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,"No injury, board damaged",N,"C. Creswell, GSAF",jun
51,2016.06.05.b,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,Leg bitten,N,"Daytona Beach News-Journal, 6/5/2016",jun
52,2016.06.05.a,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,FATAL,Y,"B. Myatt, GSAF",jun
53,2016.06.04,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,"Leg severely bitten, surgically amputated",N,"Ahram Online, 6/4/2016",jun
54,2016.06.02.b,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,"No injury, but sharks repeatedly hit their fins and guns",,"Gold Coast Bulletin, 6/4/2016",jun
55,2016.06.02.a,2016,Unprovoked,NEW CALEDONIA,," Côte-Blanche, Nouméa ",Kite surfing,M,Laceration to heel,N,"Les Nouvelles Caledoniennes, 6/3/2016",jun
56,2016.05.31,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,FATAL,Y,"Perth Now, 5/31/2016",may
57,2016.05.29.b,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,Injuries to arm and shoulder,N,"R. Collier, GSAF",may
58,2016.05.29.a,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,Injury to posterior right leg,N,"News4Jax, 5/29/2016",may
59,2016.05.22,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,Puncture wounds to thigh,N,"Florida Today, 5/22/2016",may
60,2016.05.21.b,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,Lacerations and puncture wounds to foot and ankle,N,"ABC Action News, 6/15/2016",may
61,2016.05.21.a,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,"Back, arm & hand injured",N,"Action News Jax, 5/23/2016",may
62,2016.05.18,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,Ankle bitten,N,"News4Jax, 5/19/2016",may
63,2016.05.15,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,Arm grabbed PROVOKED INCIDENT,N,"CBS News, 5/16/2016",may
64,2016.05.03,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,Minor lacerations to right shoulder,N,"Maui Now, 5/3/2016",may
65,2016.05.02,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,Radio New Zealand  5/3/2016,may
66,2016.04.25,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,Elbow bitten,N,"News.com.au, 4/26/2016",apr
67,2016.04.23,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to left foot,N,"News4Jax, 4/23/2016",apr
68,2016.04.22,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,"No injury, surf-ski bitten",N,"Knysna-Plett Herald, 4/22/2016",apr
69,2016.04.19,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,Minor puncture wound to foot,N,"Gold Coast Bulletin, 4/19/2016",apr
70,2016.04.18,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,"Tahiti Infos, 4/19/2016",apr
71,2016.04.13,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,Multiple bites to right arm,N,"Palm Beach Post, 4/13/2016",apr
72,2016.04.09,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,FATAL,Y,Les Nouvelles Caledonnie. 4/11/2016,apr
73,2016.04.08,2016,Invalid,CAPE VERDE,Boa Vista Island,,,M,"""Serious""",N,L.O.Guttke,apr
74,2016.04.07.b,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,Left hand bitten,N,,apr
75,2016.04.07.a,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,M,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,YouTube,apr
76,2016.03.31,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,Minor injury to left foot,N,"Maui Now, 3/31/2016",mar
77,2016.03.30,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,Severe injury to thigh,N,"Daily Telegraph, 3/30/2016",mar
78,2016.03.28.b,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",,M,Minor injury to arm. Possibly caused by smalll nurse shark,N,"Fox 35, 3/30/2015",mar
79,2016.03.28.a,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,"No injury, board dented",N,"B. Myatt, GSAF",mar
81,2016.03.13,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,,Board reportedly bumped by shark. No injury,N,"Orange County Register, 3/13/2016",mar
82,2016.03.11,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,Lacerations to right foot and ankle,N,"WCBV-5, 3/31/206",mar
83,2016.03.10,2016,Unprovoked,Fiji,Vanua Levu,,Diving for beche-de-mer,M,FATAL,Y,"Fiji Sun, 3/12/2016",mar
84,2016.03.04,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,Superficial injury to foot,N,WPTV. 3/4/2016,mar
85,2016.03.03.R,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,Puncture wounds to right calf,N,"9 News, 3/1/2016",mar
86,2016.03.02,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,Minor injury to head,N,"Misones Online, 3/4/2016",mar
87,2016.02.22,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,Puncture wounds to right thigh,N,"Les Nouvelles Calédoniennes, 2/23/2016",feb
88,2016.02.19,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,M,Forearm bitten,N,"Les Nouvelles Calédoniennes, 2/19/2016",feb
89,2016.02.12,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,F,Avulsion injury to lower leg,N,S. Harris,feb
90,2016.02.10.R,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,M,Minor injury to wrist from Southern stingray,N,R. Branson,feb
91,2016.02.10,2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,M,"No injury, knocked off board",N,"C. Black, GSAF",feb
92,2016.02.05,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,Foot nipped,N,"Courier Mail, 2/5/2016",feb
93,2016.02.04,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,"No injury, shark bit board",N,"B. Myatt, GSAF",feb
94,2016.01.29,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,,Kayak fishing,M,"No injury, shark capsized kayak",N,"Nine News, 2/1/2016",jan
95,2016.01.28,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,Lacerations to both hands,N,KHON2. 1/28/2016,jan
96,2016.01.25,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,No injury,N,"The Garden Island, 2/2/2016",jan
97,2016.01.24.b,2016,Unprovoked,USA,Texas,Off Surfside,Spearfishing,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,K. Love,jan
98,2016.01.24.a,2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,M,"No injury to occupants, shark leapt into boat",N,"Gulf News, 1/25/2016",jan
99,2016.01.23,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,No injury,N,"Grand Forks Herald, 1/27/2915",jan
100,2016.01.11.R,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,Laceration to right foot,N,"ABC Sunshine Coast, 1/11/2016",jan
101,2016.01.05,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,Laceration to right calf,N,"Nine News, 1/5/2016",jan
102,2016.01.02,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,Lacerations to arms & leg,N,"Courier Mail, 1/2/2016",jan
103,2015.12.26,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,M,"No injury, kayak damaged",N,"Traveller24, 12/26/2015",dec
104,2015.12.25,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,Lacerations to left forearm,N,"Diaro de Visos, 12/26/2015",dec
105,2015.12.22,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,"No injury, shark bit board",N,"West Hawaii Today, 12/23/2015",dec
106,2015.12.21.b,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,"No injury, shark leapt on surfboard",N,"The Telegraph, 12/22/;2015",dec
107,2015.12.21.a,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,M,Right hand & part of forearm removed,N,"Fox News, 12/22/2015",dec
108,2015.12.19,2015,Unprovoked,ARUBA,,Boat capsized,Sea disaster,M,FATAL,Y,"Fox News, 12/11/2015",dec
109,2015.12.13,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,,"No injury, shark rammed boat & bit motor",N,"Courier Mail, 12/15/2015",dec
110,2015.12.11,2015,Unprovoked,BAHAMAS,,Off Andros Island,Lobster fishing,M,"Bitten on thigh, abdomen & hand",N,"Nassau Guardian, 12/12/2015",dec
111,2015.12.08,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,Lacerations to both hands and forearms,N,"The Bulletin, 12/17/2015",dec
112,2015.11.16,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,Right heel injured,N,WFTV. 11/17/2015,nov
113,2015.11.15.b,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,Leg injured,N,"Palm Beach Post, 11/16/2015",nov
114,2015.11.15.a,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,Lacerations to hand,N,"5WPTV, 11/15/2015",nov
115,2015.11.10,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,Injury to left thigh,N,"The Sydney Morning Herald, 11/11/2015",nov
116,2015.12.23,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,Lower left leg injured,N,"Fox25Orlando, 11/7/2015",nov
117,2015.11.03,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,Laceration to right ankle,N,"Hawaii News Now, 11/4/2015",nov
118,2015.11.01.b,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,Injury to right ankle/calf & hand,N,"USA Today, 11/1/2015",nov
119,2015.11.01.a,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,"Arms severely injured, surgically amputated",N,"Coastweek, 12/3/2015",nov
120,2015.10.30,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,Minor injury,N,"Perth Now, 10/30/2015",oct
121,2015.10.28.a,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,"Star Advertiser, 10/28/2015",oct
122,2015.10.25,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,"Lacerations to right calf, knee & hip",N,"News 24, 10/26/2015",oct
123,2015.10.21,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,Lacerations to left hand,N,"ClickOrlando.com, 10/21/2015",oct
124,2015.10.19,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,Left foot bitten,N,"NBC6.com, 10/19/2015",oct
125,2015.10.17.c,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,FATAL,Y,Xinhua News Agency,oct
126,2015.10.17.b,2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,M,Left foot bitten by eel,N,"KHON2, 10/17/2015",oct
127,2015.10.17.a,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,Injuries to lower legs,N,"KHON2, 10/17/2015",oct
128,2015.10.13,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,M,"No injury, shark rammed kayak repeatedly",N,"The Tribune, 10/28/2015",oct
129,2015.10.09.b,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,Laceration to forearm,N,"C. Creswell, GSAF",oct
130,2015.10.09.a,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,"Left leg severed below the knee, defense injuries to left hand",N,"Hawaii News Now, 10/9/2015",oct
131,2015.10.08,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,"Arm severely injured, surgically amputated",N,Club of Mozambique,oct
132,2015.10.07,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,Foot injured,N,"Daily Mail, 10/7/2015",oct
133,2015.10.05.b,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,2 lacerations to ankle,N,"WPBF.com, 10/6/2015",oct
134,2015.10.05.a,2015,Unprovoked,USA,Texas,Galveston,Wading,M,Foot & hands bitten,N,"Houston Chronicle, 10/5/2015",oct
135,2015.10.04,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Severe lacerations to left hand,N,"CNN, 10/4/2015",oct
136,2015.09.29,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,"Laceration to heel, puncture wounds to dorsum of foot",N,"First Coast News, 9/30/2015",sep
137,2015.09.26,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,Laceration to leg,N,"The Cairns Post, 9/28/2015",sep
138,2015.09.24,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,M,"No injury, kayak damaged",N,R. Collier,sep
139,2015.09.20.d,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to left ankle,N,"Orlando Sentinel, 9/20/2015",sep
140,2015.09.20.c,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,Severe laceration to left leg,N,"Big Island Video, 9/20/2015",sep
141,2015.09.20.b,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,Significant injuries to leg,N,"News4Jax, 9/21/2015",sep
142,2015.09.20.a,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,Injury to right hand / wrist,N,"News4JAX, 9/21/2015",sep
143,2015.09.18,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,Lacerations to calf,N,"Action News Jax, 9/23/2015",sep
144,2015.09.17,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,Injury to right foot,N,"News4JAX, 9/15/2015",sep
145,2015.09.08,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,Minor laceration to hand,N,"ABC News, 9/8/2015",sep
146,2015.09.06,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,"No injury, shark struck board, tossing her into the sea",N,"R. Collier, GSAF",sep
147,2015.09.05,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,"R. Collier, GSAF",sep
148,2015.09.04,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,M,Inuries to lower left leg & ankle,N,"The Sydney Morning Herald, 9/4/2015",sep
149,2015.09.03,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,M,Right foot bitten,N,"C. Creswell, GSAF",sep
150,2015.09.01,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,F,Left foot & ankle bitten,N,"Phuket Gazette, 9/1/2015",sep
151,2015.09.00,2015,Unprovoked,FIJI,,,Spearfishing,M,Leg bitten,N,"Fiji Times, 2/8/2016",sep
152,2015.08.29.b,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,"No injury, surfboard bitten",N,"R. Collier, GSAF",aug
153,2015.08.29.a,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,"No injury, shark struk sufer's leg and his board",N,"R. Collier, GSAF",aug
154,2015.08.22.b,2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",,M,Wound to right lower leg,N,"Brevard Times, 8/22/2015",aug
155,2015.08.22.a,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,Severe laceration to left buttock & thigh,N,"Daily Telegraph, 8/22/2015",aug
156,2015.08.20,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,"Injuries to left calf, arm and hand",N,"C. Creswell, GSAF",aug
157,2015.08.19,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,Lacerations to right leg,N,"ABC News, 8/21/2015",aug
158,2015.08.18.b,2015,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,M,"No injury, kayak bitten",N,"R. Collier, GSAF",aug
159,2015.08.18.a,2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,Minor injury when he attempted to touch a fish. ,N,"The Local, 8/18/2015",aug
160,2015.08.10,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,Right hand bitten  PROVOKED INCIDENT,N,"NBC San Diego, 8/13/2015",aug
161,2015.07.31,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,"Daily Telegraph, 7/31/2015",jul
162,2015.07.26.b,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,Minor injury to sole of foot,N,CBS 7/27/2015,jul
163,2015.07.26.a,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,"C. Creswell, GSAF, ABC 11, 7/27/2015",jul
164,2015.07.25,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,FATAL,Y,"C. Black, GSAF",jul
