,Date,Year,Type,Country,Area,Location,Activity,Age,Injury,Fatal (Y/N),Female,Male
55,02-Jun-16,2016,Unprovoked,NEW CALEDONIA,NO DATA," Côte-Blanche, Nouméa ",Kite surfing,0,Laceration to heel,N,0,1
56,31-May-16,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,29,FATAL,Y,0,1
57,29-May-16,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,52,Injuries to arm and shoulder,N,1,0
58,29-May-16,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,13,Injury to posterior right leg,N,0,1
59,22-May-16,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,57,Puncture wounds to thigh,N,1,0
60,21-May-16,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,22,Lacerations and puncture wounds to foot and ankle,N,1,0
61,21-May-16,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,11,"Back, arm & hand injured",N,1,0
62,18-May-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,48,Ankle bitten,N,0,1
63,15-May-16,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,23,Arm grabbed PROVOKED INCIDENT,N,1,0
64,03-May-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,59,Minor lacerations to right shoulder,N,0,1
65,02-May-16,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,39,Foot bitten by landed shark PROVOKED INCIDENT,N,0,1
66,25-Apr-16,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,24,Elbow bitten,N,0,1
67,23-Apr-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,15,Minor injury to left foot,N,0,1
68,22-Apr-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,0,"No injury, surf-ski bitten",N,0,1
69,19-Apr-16,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,12,Minor puncture wound to foot,N,0,1
70,18-Apr-16,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,0,1
71,13-Apr-16,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,26,Multiple bites to right arm,N,0,1
72,09-Apr-16,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,69,FATAL,Y,1,0
73,08-Apr-16,2016,Invalid,CAPE VERDE,Boa Vista Island,NO DATA,NO DATA,60,"""Serious""",N,0,1
74,07-Apr-16,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,34,Left hand bitten,N,0,1
75,07-Apr-16,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,0,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,0,1
76,31-Mar-16,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,46,Minor injury to left foot,N,1,0
77,30-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,22,Severe injury to thigh,N,0,1
78,28-Mar-16,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",NO DATA,0,Minor injury to arm. Possibly caused by smalll nurse shark,N,0,1
79,28-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,41,"No injury, board dented",N,0,1
80,26-Mar-16,2016,Provoked,BAHAMAS,NO DATA,NO DATA,NO DATA,9,Minor injury to chest PROVOKED INCIDENT,N,0,1
81,13-Mar-16,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,0,Board reportedly bumped by shark. No injury,N,0,0
82,11-Mar-16,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,19,Lacerations to right foot and ankle,N,0,1
83,10-Mar-16,2016,Unprovoked,Fiji,Vanua Levu,NO DATA,Diving for beche-de-mer,45,FATAL,Y,0,1
84,04-Mar-16,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",NO DATA,12,Superficial injury to foot,N,0,1
85,Reported 03-Mar-2016,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,0,Puncture wounds to right calf,N,0,1
86,02-Mar-16,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,41,Minor injury to head,N,0,1
87,22-Feb-16,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,21,Puncture wounds to right thigh,N,0,1
88, 19-Feb-2016,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,31,Forearm bitten,N,0,1
89,12-Feb-16,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,0,Avulsion injury to lower leg,N,1,0
90,Reported 10-Feb-2016,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,65,Minor injury to wrist from Southern stingray,N,0,1
91,10-Feb-16,2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,0,"No injury, knocked off board",N,0,1
92,05-Feb-16,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,45,Foot nipped,N,1,0
93,04-Feb-16,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,40,"No injury, shark bit board",N,0,1
94,29-Jan-16,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,NO DATA,Kayak fishing,0,"No injury, shark capsized kayak",N,0,1
95,28-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,0,Lacerations to both hands,N,0,1
96,25-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,15,No injury,N,1,0
97,24-Jan-16,2016,Unprovoked,USA,Texas,Off Surfside,Spearfishing,0,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,0,1
98,24-Jan-16,2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,0,"No injury to occupants, shark leapt into boat",N,0,1
99,23-Jan-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,48,No injury,N,0,1
100,Reported 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,0,Laceration to right foot,N,0,1
101,05-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,11,Laceration to right calf,N,0,1
102,02-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,31,Lacerations to arms & leg,N,0,1
103,26-Dec-15,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,0,"No injury, kayak damaged",N,0,1
104,25-Dec-15,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,38,Lacerations to left forearm,N,1,0
105,22-Dec-15,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,71,"No injury, shark bit board",N,0,1
106,21-Dec-15,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,43,"No injury, shark leapt on surfboard",N,0,1
107,21-Dec-15,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,32,Right hand & part of forearm removed,N,0,1
108,19-Dec-15,2015,Unprovoked,ARUBA,NO DATA,Boat capsized,Sea disaster,58,FATAL,Y,0,1
109,13-Dec-15,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,0,"No injury, shark rammed boat & bit motor",N,0,0
110,11-Dec-15,2015,Unprovoked,BAHAMAS,NO DATA,Off Andros Island,Lobster fishing,26,"Bitten on thigh, abdomen & hand",N,0,1
111,08-Dec-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,22,Lacerations to both hands and forearms,N,1,0
112,16-Nov-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,0,Right heel injured,N,0,1
113,15-Nov-15,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,0,Leg injured,N,1,0
114,15-Nov-15,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,28,Lacerations to hand,N,0,1
115,10-Nov-15,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,20,Injury to left thigh,N,0,1
116,07-Nov-15,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,9,Lower left leg injured,N,1,0
117,03-Nov-15,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,54,Laceration to right ankle,N,0,1
118,01-Nov-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,28,Injury to right ankle/calf & hand,N,1,0
119,01-Nov-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,19,"Arms severely injured, surgically amputated",N,0,1
120,30-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,50,Minor injury,N,0,1
121,28-Oct-15,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,0,1
122,25-Oct-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,42,"Lacerations to right calf, knee & hip",N,0,1
123,21-Oct-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,21,Lacerations to left hand,N,0,1
124,19-Oct-15,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,21,Left foot bitten,N,0,1
125,17-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,35,FATAL,Y,1,0
126,17-Oct-15,2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,32,Left foot bitten by eel,N,0,1
127,17-Oct-15,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,44,Injuries to lower legs,N,0,1
128,13-Oct-15,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,0,"No injury, shark rammed kayak repeatedly",N,0,1
129,09-Oct-15,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,9,Laceration to forearm,N,1,0
130,09-Oct-15,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,25,"Left leg severed below the knee, defense injuries to left hand",N,0,1
131,08-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,0,"Arm severely injured, surgically amputated",N,0,1
132,07-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,18,Foot injured,N,0,1
133,05-Oct-15,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,22,2 lacerations to ankle,N,0,1
134,05-Oct-15,2015,Unprovoked,USA,Texas,Galveston,Wading,13,Foot & hands bitten,N,0,1
135,04-Oct-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,14,Severe lacerations to left hand,N,0,1
136,29-Sep-15,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,22,"Laceration to heel, puncture wounds to dorsum of foot",N,0,1
137,26-Sep-15,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,7,Laceration to leg,N,1,0
138,24-Sep-15,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,0,"No injury, kayak damaged",N,0,1
139,20-Sep-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,14,Minor injury to left ankle,N,0,1
140,20-Sep-15,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,27,Severe laceration to left leg,N,0,1
141,20-Sep-15,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,12,Significant injuries to leg,N,0,1
142,20-Sep-15,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,16,Injury to right hand / wrist,N,0,1
143,18-Sep-15,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,0,Lacerations to calf,N,0,1
144,17-Sep-15,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,20,Injury to right foot,N,0,1
145,08-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,42,Minor laceration to hand,N,0,1
146,06-Sep-15,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,50,"No injury, shark struck board, tossing her into the sea",N,1,0
147,05-Sep-15,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,0,1
148,04-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,62,Inuries to lower left leg & ankle,N,0,1
149,03-Sep-15,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",NO DATA,0,Right foot bitten,N,0,1
150,01-Sep-15,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,37,Left foot & ankle bitten,N,1,0
151,Sep-15,2015,Unprovoked,FIJI,NO DATA,NO DATA,Spearfishing,0,Leg bitten,N,0,1
152,29-Aug-15,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,54,"No injury, surfboard bitten",N,1,0
153,29-Aug-15,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,21,"No injury, shark struk sufer's leg and his board",N,0,1
154,22-Aug-15,2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",NO DATA,0,Wound to right lower leg,N,0,1
155,22-Aug-15,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,38,Severe laceration to left buttock & thigh,N,0,1
156,20-Aug-15,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,15,"Injuries to left calf, arm and hand",N,0,1
157,19-Aug-15,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,10,Lacerations to right leg,N,1,0
158,18-Aug-15,2015,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,22,"No injury, kayak bitten",N,0,1
159,18-Aug-15,2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,10,Minor injury when he attempted to touch a fish. ,N,0,1
160,10-Aug-15,2015,Provoked,USA,California,Cortes Bank,Spearfishing,57,Right hand bitten  PROVOKED INCIDENT,N,0,1
161,31-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,0,1
162,26-Jul-15,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,25,Minor injury to sole of foot,N,0,1
163,26-Jul-15,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,1,0
164,25-Jul-15,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,46,FATAL,Y,0,1
165,23-Jul-15,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,0,1
166,23-Jul-15,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,0,Left hand bitten,N,0,1
167,22-Jul-15,2015,Unprovoked,REUNION,NO DATA,St. Leu,Surfing,45,Arm bitten,N,0,1
168,19-Jul-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,34,No injury,N,0,1
169,10-Jul-15,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,38,"No injury, shark bumped & damaged board",N,0,1
170,08-Jul-15,2015,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,39,Laceration to back,N,0,1
171,06-Jul-15,2015,Invalid,FRENCH POLYNESIA,Bora Bora,NO DATA,Swimming,0,Parallel lacerations to torso inconsistent with shark bite,N,0,1
172,04-Jul-15,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,23,Lacerations to lower leg & ankle,N,1,0
173,04-Jul-15,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",NO DATA,32,Lacerations to right hand & forearm,N,0,1
174,03-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,52,"No injury, shark bit surfboard",N,0,1
175,02-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,32,Significant injuries to lower legs,N,0,1
176,01-Jul-15,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,68,"Injuries to torso, hip, lower leg & hands",N,0,1
177,30-Jun-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,0,Hand bitten,N,0,1
178,30-Jun-15,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,12,Shallow lacerations & puncture to lateral left leg,N,0,1
179,27-Jun-15,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,18,"Injuries to right calf, buttock and both hands",N,0,1
180,27-Jun-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,19,"Right leg severed, multiple lacerations to left leg",N,0,1
181,26-Jun-15,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,0,Minor lacerations to leg,N,1,0
182,26-Jun-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,23,Multiple lacerations to torso & leg,N,0,1
183,26-Jun-15,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,43,Puncture wounds to foot,N,0,1
184,Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,0,1
185,25-Jun-15,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,47,Multiple lacerations to back,N,0,1
186,24-Jun-15,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,6,Minor injury to foot,N,0,1
187,24-Jun-15,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,1,0
188,23-Jun-15,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,9,Minor injury to calf ,N,0,1
189,19-Jun-15,2015,Unprovoked,PUERTO RICO,NO DATA,Off Cabo Rojo,Spearfishing,36,Injury to hand,N,0,1
190,17-Jun-15,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,10,Minor injury to calf ,N,0,1
191,14-Jun-15,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,16,Arm amputated below shoulder,N,0,1
192,14-Jun-15,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,12,Left arm amputated at elbow & severe injury to leg,N,1,0
193,13-Jun-15,2015,Unprovoked,USA,California,Off San Diego,NO DATA,0,Severe laceration to leg,N,1,0
