,eventid,iyear,imonth,iday,country,country_txt,city,summary,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,target1,natlty1,natlty1_txt,gname,motive,individual,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nkillter,nwound,nwoundte,nkil
28,197001220002,1970,1,22,217,United States,South Sioux City,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,,217,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite thrown at foundation of home,0.0,0,0,0,0
29,197001250001,1970,1,25,217,United States,West Point,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,Building used as a meeting place for African Americans.,217,United States,White extremists,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,0,-99,8,Incendiary,18,Arson/Fire,,0.0,0,0,0,0
30,197001250002,1970,1,25,217,United States,New York City,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",1,1,1,0,0,1,0,2,Armed Assault,3,Police,New York Police Officers responding to a call in Harlem,217,United States,Black Nationalists,To kill police,0,-99,5,Firearms,5,Unknown Gun Type,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells,0.0,0,2,0,0
31,197001260001,1970,1,26,217,United States,West Point,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Clay County Courthouse,217,United States,Black Nationalists,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,0,-99,6,Explosives,28,Dynamite/TNT,"Several sticks of dynamite were thrown, from a car, at the courthouse.",0.0,0,0,0,0
32,197001260003,1970,1,26,217,United States,New York City,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",1,1,1,0,0,1,0,2,Armed Assault,3,Police,New York Police Officer on patrol in Forest Hills,217,United States,Black Nationalists,To kill police,0,-99,5,Firearms,5,Unknown Gun Type,,0.0,0,0,0,0
33,197001270002,1970,1,27,217,United States,Norwalk,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service office in Norwalk Ohio,217,United States,Left-Wing Militants,Protest and sabotage the draft,0,-99,8,Incendiary,18,Arson/Fire,,0.0,0,0,0,0
35,197001280002,1970,1,28,217,United States,Seattle,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",1,1,1,1,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,Temple De Hirsch,217,United States,White extremists,,0,-99,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
36,197001300001,1970,1,30,217,United States,South Sioux City,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,1,1,0,3,Bombing/Explosion,20,Unknown,,217,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite,0.0,0,0,0,0
37,197001300002,1970,1,30,217,United States,South Sioux City,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,1,1,0,3,Bombing/Explosion,1,Business,A & B Boat Shop,217,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite,0.0,0,0,0,0
38,197001300003,1970,1,30,217,United States,Coral Gables,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,4,Military,"Army R.O.T.C., University of Miami",217,United States,Student Radicals,To protest the R.O.T.C. program and the War in Vietnam,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,"Two firebombs ignited, at least one of them was thrown.  One of the firebombs was a rag wick set on fire stuffed in a gas tank of a parked car that burnt out.  Two other firebombs did not ignited.",0.0,0,0,0,0
40,197001310002,1970,1,31,217,United States,Denver,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged.",1,1,1,1,0,1,0,3,Bombing/Explosion,3,Police,"Police Band Building, Denver Colorado",217,United States,Unknown,,0,-99,6,Explosives,28,Dynamite/TNT,Suspected use of dynamite,0.0,0,0,0,0
41,197002010001,1970,2,1,217,United States,Portland,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service office Local Board No. 28 in Portland Oregon,217,United States,Left-Wing Militants,Protest and sabotage the draft,0,1,8,Incendiary,20,Gasoline or Alcohol,Fire started with gasoline,0.0,0,0,0,0
42,197002010002,1970,2,1,217,United States,Cairo,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered.",1,1,1,0,0,1,0,2,Armed Assault,3,Police,Illinois State Police in the Pyramid Courts housing project,217,United States,Black Nationalists,To protest police presence in Pyramid Courts,0,-99,5,Firearms,4,Rifle/Shotgun (non-automatic),High-powered rifle or carbine,0.0,0,0,0,0
43,197002020001,1970,2,2,217,United States,New York City,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States.  The device was dismantled before it inflicted any damage.  The next day, two incendiary devices were discovered at other department stores in New York City.",1,1,1,0,0,0,0,7,Facility/Infrastructure Attack,1,Business,Mays Department Store in Manhattan,217,United States,Unknown,,0,-99,8,Incendiary,20,Gasoline or Alcohol,Incendiary device,0.0,0,0,0,0
44,197002030001,1970,2,3,217,United States,New York City,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States.",1,1,1,0,1,0,0,7,Facility/Infrastructure Attack,1,Business,Alexander's Department Store in the Bronx,217,United States,Unknown,,0,-99,8,Incendiary,20,Gasoline or Alcohol,"Incendiary device packed in a cigarette box that included batteries, chemicals, and a flash cube that was connected to a wristwatch.",0.0,0,0,0,0
45,197002030002,1970,2,3,217,United States,New York City,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States.  The device was immediately doused with water and did not cause any damage.",1,1,1,0,1,0,0,7,Facility/Infrastructure Attack,1,Business,Alexander's Department Store in Manhattan,217,United States,Unknown,,0,-99,8,Incendiary,20,Gasoline or Alcohol,Incendiary device,0.0,0,0,0,0
46,197002040001,1970,2,4,217,United States,Akron,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States.  There were no casualties and the car sustained only minor damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,,217,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike.,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite,0.0,0,0,0,0
47,197002060001,1970,2,6,217,United States,Denver,"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States.  There were no casualties.",1,1,1,0,0,1,0,3,Bombing/Explosion,19,Transportation,Denver City School Buses,217,United States,Black Nationalists,Sabotage/protest the integration of Denver City Schools.,0,3,6,Explosives,28,Dynamite/TNT,At least 12 dynamite bombs were set off under the gas tanks of the vehicles.,0.0,0,0,0,0
48,197002060002,1970,2,6,217,United States,Seattle,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes.",1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Fred Dore,217,United States,White extremists,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite,0.0,0,0,0,0
49,197002060003,1970,2,6,217,United States,Seattle,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area.",1,1,1,1,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,,217,United States,White extremists,,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite,0.0,0,0,0,0
50,197002060004,1970,2,6,217,United States,Dorado,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a Selective Service office in Dorado, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service office in Dorado Puerto Rico,217,United States,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
51,197002060005,1970,2,6,217,United States,Rio Piedras,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a General Electric facility in Rio Piedras, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,21,Utilities,,217,United States,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
52,197002060006,1970,2,6,217,United States,Carolina,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at Hotel San Juan in Carolina, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,1,1,0,1,1,0,7,Facility/Infrastructure Attack,1,Business,San Juan Hotel,163,Puerto Rico,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
53,197002060007,1970,2,6,217,United States,Boston,"2/6/1970: Unknown perpetrators firebombed an R.O.T.C. office at Boston University in Boston, Massachusetts, United States.  There were no casualties but the resulting fire damaged the office.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,4,Military,"R.O.T.C. office, Boston University",217,United States,Student Radicals,To protest the R.O.T.C. program,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
54,197002070003,1970,2,7,217,United States,Whitewater,"2/7/1970: Unknown perpetrators set a fire in Old Mail Hall at Wisconsin State College in Whitewater, Wisconsin, United States.  There were no casualties but the building sustained an estimated $1,000,000 in damages.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,"Old Mail Hall, Wisconsin State College",217,United States,Student Radicals,,0,-99,8,Incendiary,18,Arson/Fire,Fire,0.0,0,0,0,0
55,197002080001,1970,2,8,217,United States,New York City,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Queens, New York, United States.  There were no casualties but the building sustains minor damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,1,Business,Queens General Electric Service Center,217,United States,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
56,197002080002,1970,2,8,217,United States,New York City,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Brooklyn, New York, United States.  There are no casualties but the building sustains minor damages.",1,1,1,0,1,1,0,3,Bombing/Explosion,1,Business,Brooklyn General Electric Service Center,217,United States,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,6,Explosives,31,Pipe Bomb,18-inch pipe bomb,0.0,0,0,0,0
57,197002090003,1970,2,9,217,United States,New York City,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States.   The bomb was discovered and subsequently removed.",1,1,1,0,1,0,0,3,Bombing/Explosion,1,Business,General Electric Headquarters,217,United States,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,6,Explosives,31,Pipe Bomb,Pipe bomb in a paper bag,0.0,0,0,0,0
58,197002090004,1970,2,9,217,United States,Batavia,"2/9/1970: Unknown perpetrators in Batavia, Ohio, United States, bombed two cars belonging to Leslie Jewel, an employee of General Electric that was not part of the union.  The automobiles were damaged, but there were no casualties.  There had been a recent labor strike at the nearby General Electric Evendale plant.",1,1,1,1,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Leslie Jewel,217,United States,Strikers,Protest employees of General Electric who were not union members,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite,0.0,0,0,0,0
60,197002110001,1970,2,11,217,United States,Ypsilanti,"2/11/1970: Unknown perpetrators threw a firebomb into a building at Washtenaw Community College in Ypsilanti, Michigan, United States.  There were no casualties, but the buildings sustained an estimated $2,500 in damages.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,,217,United States,Student Radicals,,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb thrown into building,0.0,0,0,0,0
61,197002130001,1970,2,13,217,United States,Berkeley,,1,1,1,0,0,1,0,3,Bombing/Explosion,3,Police,Police parking lot,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,7,,0
63,197002130003,1970,2,13,217,United States,Berkeley,"2/13/1970: Unknown perpetrators detonated two dynamite bombs in the parking lot of the Berkeley Police Station in California, United States, during a shift change.  Seven police officers were injured, three cars were destroyed, and windows were shattered at nearby buildings.",1,1,1,0,0,1,0,3,Bombing/Explosion,3,Police,Berkeley Police Station,217,United States,Black Nationalists,To intimidate the police.,0,-99,6,Explosives,28,Dynamite/TNT,Homemade dynamite time bombs,0.0,0,7,0,0
64,197002150001,1970,2,15,217,United States,New York City,"7/15/1970: Unknown perpetrators bombed the Chase Manhattan Bank in Manhattan, New York, United States.  There were no casualties, however, the glass doors of the building and windows were shattered.",1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,"Chase Manhattan Bank, East Village Branch",217,United States,Left-Wing Militants,,0,-99,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
65,197002150002,1970,2,15,217,United States,Eugene,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States.  One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages.  The incident took place a week after the university voted to retain the R.O.T.C. program.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,4,Military,"R.O.T.C. storage area, University of Oregon",217,United States,Student Radicals,To protest the University of Oregon's decision to retain the R.O.T.C. program,0,-99,8,Incendiary,18,Arson/Fire,Arson,0.0,0,1,0,0
66,197002160001,1970,2,16,217,United States,San Francisco,,1,1,1,0,1,1,0,3,Bombing/Explosion,3,Police,police station,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,1.0,,0,,1
67,197002160002,1970,2,16,217,United States,Berkeley,,1,1,1,-9,1,1,0,3,Bombing/Explosion,1,Business,department store,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
68,197002160003,1970,2,16,217,United States,Berkeley,,1,1,1,-9,1,1,0,3,Bombing/Explosion,1,Business,department store,217,United States,Unknown,,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
69,197002160004,1970,2,16,217,United States,San Francisco,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended.",1,1,1,0,1,0,0,2,Armed Assault,3,Police,San Francisco Police Officers,217,United States,Left-Wing Militants,To intimidate the police.,0,1,5,Firearms,4,Rifle/Shotgun (non-automatic),Telescope-sighted rifle,0.0,0,0,0,0
70,197002170001,1970,2,17,217,United States,Oakland,"2/17/1970: A day after bombings in San Francisco and Berkeley, twenty-four sticks of dynamite were discovered at Walter Boysen Paint Company in Oakland, California, United States.  The bombs never detonated.",1,1,1,1,0,0,0,3,Bombing/Explosion,1,Business,Walter Boysen Paint Company,217,United States,Unknown,,0,-99,6,Explosives,28,Dynamite/TNT,24 sticks of dynamite,0.0,0,0,0,0
71,197002170002,1970,2,17,217,United States,Buckeystown,"2/17/1970: Unknown perpetrators bombed a power pole in Buckeystown, Maryland, United States.  There were no casualties, however, as a result of the bombing, five-hundred homes and two industrial facilities lost power.  Windows were also shattered in buildings a quarter of a mile a way.",1,1,1,1,0,1,0,3,Bombing/Explosion,21,Utilities,Power supply of the Frederick Maryland area,217,United States,Unknown,,0,-99,6,Explosives,28,Dynamite/TNT,Dynamite,0.0,0,0,0,0
72,197002170003,1970,2,17,217,United States,Covington,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States.  There were no casualties but the building sustained minor damages.  The bombing took place six months before the school was integrated.",1,1,1,0,0,1,0,3,Bombing/Explosion,8,Educational Institution,Covington High School,217,United States,White extremists,Suspected motive was to protest school integration.,0,-99,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
73,197002170004,1970,2,17,217,United States,Seattle,"2/17/1970: Unknown perpetrators placed a gasoline bomb underneath the Armory at the University of Washington in Seattle, United States.  The bomb did not explode and was later discovered and removed.",1,1,1,0,0,0,0,3,Bombing/Explosion,4,Military,"Armory, University of Washington",217,United States,Student Radicals,Protest the War in Vietnam,0,-99,6,Explosives,16,Unknown Explosive Type,Gasoline bomb,0.0,0,0,0,0
74,197002180002,1970,2,18,217,United States,Cleveland,"2/18/1970: Amidst a period racial strife at Cuyahoga Community College in Cleveland, Ohio, United States, unknown perpetrators detonated a bomb that damaged a car of a police officer working as a security guard.",1,1,1,0,0,1,0,3,Bombing/Explosion,3,Police,,217,United States,Black Nationalists,,0,-99,6,Explosives,31,Pipe Bomb,Pipe filled with black powder was utilized as a bomb,0.0,0,0,0,0
75,197002180003,1970,2,18,217,United States,Vallejo,"2/18/1970: Booby trapped handgrenades were discovered wired to a car in the parking lot of the Vallejo Police Department in California, United States.  The device was deactivated.",1,1,1,0,0,1,0,3,Bombing/Explosion,3,Police,,217,United States,Black Nationalists,,0,-99,6,Explosives,15,Vehicle,Military handgrenade wired to a car,0.0,0,0,0,0
