,Year,Date,Type,Injury,Fatal (Y/N)
127,2015,17-Oct-15,Unprovoked,Injuries to lower legs,N
128,2015,13-Oct-15,Boat,"No injury, shark rammed kayak repeatedly",N
129,2015,09-Oct-15,Unprovoked,Laceration to forearm,N
130,2015,09-Oct-15,Unprovoked,"Left leg severed below the knee, defense injuries to left hand",N
131,2015,08-Oct-15,Unprovoked,"Arm severely injured, surgically amputated",N
132,2015,07-Oct-15,Unprovoked,Foot injured,N
133,2015,05-Oct-15,Unprovoked,2 lacerations to ankle,N
134,2015,05-Oct-15,Unprovoked,Foot & hands bitten,N
135,2015,04-Oct-15,Unprovoked,Severe lacerations to left hand,N
136,2015,29-Sep-15,Unprovoked,"Laceration to heel, puncture wounds to dorsum of foot",N
137,2015,26-Sep-15,Unprovoked,Laceration to leg,N
138,2015,24-Sep-15,Unprovoked,"No injury, kayak damaged",N
139,2015,20-Sep-15,Unprovoked,Minor injury to left ankle,N
140,2015,20-Sep-15,Unprovoked,Severe laceration to left leg,N
141,2015,20-Sep-15,Unprovoked,Significant injuries to leg,N
142,2015,20-Sep-15,Unprovoked,Injury to right hand / wrist,N
143,2015,18-Sep-15,Unprovoked,Lacerations to calf,N
144,2015,17-Sep-15,Unprovoked,Injury to right foot,N
145,2015,08-Sep-15,Unprovoked,Minor laceration to hand,N
146,2015,06-Sep-15,Unprovoked,"No injury, shark struck board, tossing her into the sea",N
147,2015,05-Sep-15,Provoked,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N
148,2015,04-Sep-15,Unprovoked,Inuries to lower left leg & ankle,N
149,2015,03-Sep-15,Unprovoked,Right foot bitten,N
150,2015,01-Sep-15,Unprovoked,Left foot & ankle bitten,N
151,2015,Sep-15,Unprovoked,Leg bitten,N
152,2015,29-Aug-15,Unprovoked,"No injury, surfboard bitten",N
153,2015,29-Aug-15,Unprovoked,"No injury, shark struk sufer's leg and his board",N
154,2015,22-Aug-15,Invalid,Wound to right lower leg,N
155,2015,22-Aug-15,Unprovoked,Severe laceration to left buttock & thigh,N
156,2015,20-Aug-15,Unprovoked,"Injuries to left calf, arm and hand",N
157,2015,19-Aug-15,Unprovoked,Lacerations to right leg,N
158,2015,18-Aug-15,Unprovoked,"No injury, kayak bitten",N
159,2015,18-Aug-15,Invalid,Minor injury when he attempted to touch a fish. ,N
160,2015,10-Aug-15,Provoked,Right hand bitten  PROVOKED INCIDENT,N
161,2015,31-Jul-15,Unprovoked,"Lacerations and puncture wounds to hip, thigh, arm and hand",N
162,2015,26-Jul-15,Unprovoked,Minor injury to sole of foot,N
163,2015,26-Jul-15,Invalid,"2' cut to dorsum of foot, 2 puncture wounds to sole",N
164,2015,25-Jul-15,Unprovoked,FATAL,Y
165,2015,23-Jul-15,Provoked,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N
166,2015,23-Jul-15,Unprovoked,Left hand bitten,N
167,2015,22-Jul-15,Unprovoked,Arm bitten,N
168,2015,19-Jul-15,Unprovoked,No injury,N
169,2015,10-Jul-15,Unprovoked,"No injury, shark bumped & damaged board",N
170,2015,08-Jul-15,Invalid,Laceration to back,N
171,2015,06-Jul-15,Invalid,Parallel lacerations to torso inconsistent with shark bite,N
172,2015,04-Jul-15,Unprovoked,Lacerations to lower leg & ankle,N
173,2015,04-Jul-15,Unprovoked,Lacerations to right hand & forearm,N
174,2015,03-Jul-15,Unprovoked,"No injury, shark bit surfboard",N
175,2015,02-Jul-15,Unprovoked,Significant injuries to lower legs,N
176,2015,01-Jul-15,Unprovoked,"Injuries to torso, hip, lower leg & hands",N
177,2015,30-Jun-15,Unprovoked,Hand bitten,N
178,2015,30-Jun-15,Unprovoked,Shallow lacerations & puncture to lateral left leg,N
179,2015,27-Jun-15,Unprovoked,"Injuries to right calf, buttock and both hands",N
180,2015,27-Jun-15,Unprovoked,"Right leg severed, multiple lacerations to left leg",N
181,2015,26-Jun-15,Invalid,Minor lacerations to leg,N
182,2015,26-Jun-15,Unprovoked,Multiple lacerations to torso & leg,N
183,2015,26-Jun-15,Unprovoked,Puncture wounds to foot,N
184,2015,Reported 25-Jun-2015,Provoked,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N
185,2015,25-Jun-15,Unprovoked,Multiple lacerations to back,N
186,2015,24-Jun-15,Unprovoked,Minor injury to foot,N
187,2015,24-Jun-15,Invalid,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N
188,2015,23-Jun-15,Unprovoked,Minor injury to calf ,N
189,2015,19-Jun-15,Unprovoked,Injury to hand,N
190,2015,17-Jun-15,Unprovoked,Minor injury to calf ,N
191,2015,14-Jun-15,Unprovoked,Arm amputated below shoulder,N
192,2015,14-Jun-15,Unprovoked,Left arm amputated at elbow & severe injury to leg,N
193,2015,13-Jun-15,Unprovoked,Severe laceration to leg,N
194,2015,11-Jun-15,Unprovoked,Minor lacerations to foot,N
195,2015,07-Jun-15,Unprovoked,Lacerations to right calf,N
196,2015,05-Jun-15,Unprovoked,Puncture wound to finger,N
197,2015,01-Jun-15,Unprovoked,Left forearm bitten,N
198,2015,29-May-15,Unprovoked,Left foot bitten,N
199,2015,29-May-15,Unprovoked,Minor lacerations to dorsum of right foot,N
200,2015,25-May-15,Unprovoked,Lacerations to right forearm,N
201,2015,24-May-15,Unprovoked,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N
202,2015,20-May-15,Unprovoked,2 puncture wounds to  dorsum of left foot,N
203,2015,15-May-15,Unprovoked,Laceration to foot ,N
204,2015,09-May-15,Unprovoked,FATAL,Y
205,2015,07-May-15,Unprovoked,"Lacerations to lower left leg, ankle & foot",N
206,2015,03-May-15,Unprovoked,Injuries to left arm & right hand,N
207,2015,02-May-15,Unprovoked,"Injuries to leg, left arm & both hands",N
208,2015,29-Apr-15,Unprovoked,FATAL,Y
209,2015,26-Apr-15,Unprovoked,Lacerations to left calf,N
210,2015,25-Apr-15,Unprovoked,Leg severed at mid-thigh,N
211,2015,24-Jun-15,Unprovoked,"No injury, knocked off ski",N
212,2015,13-Apr-15,Unprovoked,Lacerations to shoulder and left bicep,N
213,2015,11-Apr-15,Unprovoked,Ankle injured,N
214,2015,12-Apr-15,Unprovoked,FATAL,Y
215,2015,31-Mar-15,Invalid,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,N
216,2015,03-Apr-15,Unprovoked,Injuries to head & torso,N
217,2015,29-Mar-15,Invalid,"FATAL, but shark involvement prior to death unconfirmed",Y
218,2015,26-Mar-15,Boat,No injury but kayak bitten,N
219,2015,21-Mar-15,Unprovoked,FATAL,Y
220,2015,18-Mar-15,Unprovoked,Lacerations to left forearm. Lacerations to left hand and thigh,N
221,2015,16-Mar-15,Unprovoked,Hand bitten,N
222,2015,11-Mar-15,Boat,Bruised in falling overboard as shark bumped boat,N
223,2015,10-Mar-15,Provoked,Right hand bitten by hooked shark PROVOKED INCIDENT,N
224,2015,07-Mar-15,Unprovoked,Thigh bitten,N
225,2015,15-Feb-15,Boat,"No injury, shark bit rudder",N
226,2015,14-Feb-15,Unprovoked,FATAL,Y
227,2015,09-Feb-15,Unprovoked,FATAL,Y
228,2015,08-Feb-15,Unprovoked,Laceration & puncture wounds to right flank & hip,N
229,2015,05-Feb-15,Unprovoked,5 minor puncture wounds to lower left leg,N
230,2015,30-Jan-15,Boat,"No injury, shark's teeth scratched hull",N
231,2015,27-Jan-15,Provoked,Lacerations to calf by hooked shark PROVOKED INCIDENT,N
232,2015,24-Jan-15,Unprovoked,"No injury, surfboard dented",N
233,2015,19-Jan-15,Boat,No injury but shark bit trolling motor & rammed boat,N
234,2015,19-Jan-15,Invalid,Board snapped in two,N
235,2015,17-Jan-15,Boat,"Shark bumped boat, no injury to occupants",N
236,2015,16-Jan-15,Unprovoked,Bitten on hand & wrist,N
237,2015,08-Jan-15,Invalid,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N
238,2015,06-Jan-15,Unprovoked,Severe bite to right flank,N
239,2015,03-Jan-15,Unprovoked,"Lacerations to lower left leg, puncture wounds to sole of left foot",N
240,2015,01-Jan-15,Unprovoked,Leg bitten,N
241,2014,29-Dec-14,Unprovoked,Lacerations to both feet,N
242,2014,29-Dec-14,Unprovoked,FATAL,Y
243,2014,28-Dec-14,Sea Disaster,"Of 9 bodies recovered, one was bitten by a shark",N
244,2014,28-Dec-14,Invalid,Minor cuts on feet,N
245,2014,28-Dec-14,Unprovoked,Injury to hip/leg,N
246,2014,28-Dec-14,Provoked,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N
247,2014,Reported 23-Dec-2014,Unprovoked,"No injury, shark snagged its teeth in diver's suit",N
248,2014,15-Dec-14,Unprovoked,FATAL,Y
249,2014,Reported 03-Dec-2014,Provoked,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N
250,2014,29-Nov-14,Unprovoked,Minor injuries to right leg,N
251,2014,20-Nov-14,Provoked,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y
252,2014,19-Nov-14,Boat,"Shark chasing fish bumped boat, no injury to occupants",N
253,2014,16-Nov-14,Unprovoked,Laceration to left hand,N
254,2014,Reported 17-Nov-2014,Boat,"Shark bumped boat, no injury to occupants",N
255,2014,13-Nov-14,Unprovoked,Laceration to left upper leg,N
256,2014,10-Nov-14,Unprovoked,Minor injury to lower leg and foot,N
257,2014,08-Nov-14,Unprovoked,Minor injuries to hand & arm ,N
258,2014,31-Oct-14,Unprovoked,Lacerations to fingers,N
259,2014,29-Oct-14,Provoked,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N
260,2014,22-Oct-14,Unprovoked,"No injury, paddleboard bitten",N
261,2014,20-Oct-14,Unprovoked,"No injury, paddleboard bitten",N
262,2014,19-Oct-14,Boat,"No injury to occupant, canoe bitten",N
263,2014,18-Oct-14,Unprovoked,"No injury, surfboard bitten",N
264,2014,17-Oct-14,Unprovoked,"Lacerations to left calf & ankle, puncture wounds to left foot",N
265,2014,14-Oct-14,Unprovoked,Lacerations to left foot,N
266,2014,12-Oct-14,Unprovoked,Laceration to right hand/wrist,N
267,2014,07-Oct-14,Unprovoked,Thigh bitten,N
268,2014,11-Oct-14,Boat,"Kayak deflated, no injury to occupants",N
269,2014,05-Oct-14,Unprovoked,Foot bitten,N
270,2014,05-Oct-14,Unprovoked,Foot bitten,N
271,2014,03-Oct-14,Boat,"No injury to occupant, shark/s holded  kayak",N
272,2014,03-Oct-14,Boat,"No injury to occupant, shark/s holded  kayak",N
273,2014,02-Oct-14,Unprovoked,Lacerations to knee,N
274,2014,02-Oct-14,Unprovoked,"Left arm & right hand severed, lacerations to both legs",N
275,2014,21-Sep-14,Unprovoked,Minor injury to left foot,N
276,2014,Reported 12-Sep-2014,Unprovoked,Thumb & finger nipped,N
277,2014,13-Sep-14,Invalid,"A hoax, no shark involvement",N
278,2014,09-Sep-14,Unprovoked,FATAL,Y
279,2014,06-Sep-14,Unprovoked,Leg bitten,N
280,2014,03-Sep-14,Unprovoked,"No injury, shark bit kayak",N
281,2014,02-Sep-14,Provoked,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N
282,2014,Sep-14,Unprovoked,Lacerations to right hand,N
283,2014,31-Aug-14,Unprovoked,Injury to left calf,N
284,2014,29-Aug-14,Unprovoked,Lacerations to shin,N
285,2014,29-Aug-14,Invalid,Shark involvement not confirmed,N
286,2014,28-Aug-14,Provoked,Lacerations to foot by hooked shark PROVOKED INCIDENT,N
287,2014,27-Aug-14,Unprovoked,Minor lacerations to posterior lower leg,N
288,2014,27-Aug-14,Unprovoked,Laceration to left hand,N
289,2014,27-Aug-14,Unprovoked,Heel bitten,N
290,2014,Reported 25-Aug-2014,Provoked,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N
291,2014,24-Aug-14,Unprovoked,Laceration to left foot,N
292,2014,16-Aug-14,Unprovoked,Lacerations to face and neck,N
293,2014,12-Aug-14,Unprovoked,Puncture wounds and lacerations to left thigh and knee,N
294,2014,10-Aug-14,Unprovoked,Puncture wounds & lacerations to foot,N
295,2014,09-Aug-14,Unprovoked,Puncture wounds to right foot and ankle,N
296,2014,09-Aug-14,Unprovoked,Puncture wounds to right foot & ankle,N
297,2014,08-Aug-14,Unprovoked,Minor lacerations to left heel and big toe,N
298,2014,06-Aug-14,Unprovoked,Lacerations to right leg & foot,N
299,2014,05-Aug-14,Unprovoked,Lacerations to  foot,N
300,2014,02-Aug-14,Unprovoked,Foot bitten,N
301,2014,02-Aug-14,Unprovoked,Laceration to ankle,N
302,2014,01-Aug-14,Unprovoked,Lower limbs & thigh bitten,N
303,2014,Aug-14,Invalid,Shark involvement prior to death not confirmed,Y
304,2014,27-Jul-14,Unprovoked,Left foot bitten,N
305,2014,22-Jul-14,Unprovoked,Lacerations to right wrist & calf,N
306,2014,21-Jul-14,Unprovoked,Lacerations to right knee,N
307,2014,20-Jul-14,Unprovoked,Minor injury,N
308,2014,16-Jul-14,Unprovoked,Lacerations to left foot,N
309,2014,14-Jul-14,Unprovoked,Puncture wounds to foot,N
310,2014,13-Jul-14,Invalid,"Missing after a dive, shark involvement considered probable, but not confirmed",Y
311,2014,12-Jul-14,Unprovoked,Lacerations to hand and wrist,N
312,2014,09-Jul-14,Unprovoked,Lacerations to foot,N
313,2014,05-Jul-14,Provoked,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N
314,2014,05-Jul-14,Unprovoked,"No injury, surboard bitten",N
315,2014,03-Jul-14,Unprovoked,Right hand bitten,N
316,2014,Reported 27-Jun-2014,Boat,His boat was holed by a shark,N
317,2014,25-Jun-14,Unprovoked,No injury but shark took his pole spear,N
318,2014,18-Jun-14,Unprovoked,"No injury, surfboard 'attacked'",N
319,2014,18-Jun-14,Unprovoked,Lacerations to knee,N
320,2014,Reported 17-Jun-2014,Provoked,Lacerations to right hand by captive shark PROVOKED INCIDENT,N
321,2014,09-Jun-14,Unprovoked,Severe injury to arm,N
322,2014,09-Jun-14,Unprovoked,"Abrasion to right hand, lacerations to left forearm",N
323,2014,09-Jun-14,Unprovoked,Minor injury to torso,N
324,2014,08-Jun-14,Unprovoked,Left arm bitten,N
325,2014,07-Jun-14,Unprovoked,Shallow lacerations & puncture wounds below shoulder,N
326,2014,01-Jun-14,Unprovoked,Laceration to right lower leg,N
327,2014,01-Jun-14,Unprovoked,Lacerations & puncture wounds to ankle and foot,N
328,2014,01-Jun-14,Unprovoked,Laceration to left hand,N
329,2014,24-May-14,Unprovoked,Lacerations to legs,N
330,2014,23-May-14,Unprovoked,Lacerations to left thigh and hip,N
331,2014,22-May-14,Provoked,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N
332,2015,20-Nov-15,Unprovoked,Lacerations to left calf,N
333,2014,15-May-14,Unprovoked,Calf bitten,N
334,2014,14-May-14,Unprovoked,"No injury, but surfboard severely damaged",N
335,2014,13-May-14,Unprovoked,Lacerations and puncture wounds to right foot,N
336,2014,11-May-14,Unprovoked,Puncture wounds to right thigh,N
337,2014,Reported 10-May-2014,Invalid,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",N
338,2014,06-May-14,Unprovoked,Lacerations to left foot,N
339,2014,01-May-14,Unprovoked,Laceration to right hand and cuts on fingertips,N
340,2014,24-Apr-14,Unprovoked,Minor injury,N
341,2014,22-Apr-14,Unprovoked,Laceration & puncture wounds to right foot,N
342,2014,15-Apr-14,Unprovoked,Minor lacerations to left foot,N
343,2014,Reported 12-Apr-2014,Boat,"No injury to occupants, shark bit pontoon",N
344,2014,12-Apr-14,Provoked,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N
345,2014,04-Apr-14,Unprovoked,Minor puncture wounds to lower left leg,N
346,2014,04-Apr-14,Unprovoked,Lacerations to foot,N
347,2014,03-Apr-14,Unprovoked,FATAL,Y
348,2014,29-Mar-14,Invalid,Shark bites may have been post mortem,Y
349,2014,22-Mar-14,Unprovoked,FATAL,Y
350,2014,22-Mar-14,Unprovoked,Lacerations to left forearm,N
351,2014,21-Mar-14,Unprovoked,Lacerations to toes and heel of right foot,N
352,2014,18-Mar-14,Unprovoked,Lacerations to calf,N
353,2014,18-Mar-14,Unprovoked,Shark leapt onto surfboard; surfer uninjured ,N
354,2014,13-Mar-14,Invalid,"Caribbean reef shark buzzed him. No injury, no attack. ",N
355,2014,18-Mar-14,Invalid,"Injuries to wrist/hand by a mackerel, not a shark",N
356,2014,12-Mar-14,Unprovoked,Minor lacerations to foot,N
357,2014,02-Mar-14,Unprovoked,Lacerations to toes,N
358,2014,20-Feb-14,Unprovoked,Lacerations to lower leg,N
359,2014,Reported 17-Feb-2014,Boat,"No injury to occupants, hull bitten",N
360,2014,08-Feb-14,Unprovoked,FATAL,Y
361,2014,07-Feb-14,Provoked,Possibly a PROVOKED INCIDENT,N
362,2014,07-Feb-14,Unprovoked,Lacerations to leg,N
363,2014,26-Jan-14,Provoked,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N
364,2014,25-Jan-14,Unprovoked,Minor injury to left lower leg & heel,N
365,2014,04-Jan-14,Sea Disaster,5 cm bite to left foot,N
366,2014,2014,Boat,"No injury to occupants, shark nudged and bit boat",N
367,2013,25-Dec-13,Unprovoked,Leg bitten,N
368,2013,16-Dec-13,Unprovoked,Injuries to left thigh,N
369,2013,13-Dec-13,Unprovoked,Severe injury to arm,N
370,2013,11-Dec-13,Unprovoked,Lacerations to right hand & knee,N
371,2013,10-Dec-13,Unprovoked,Right foot bitten,N
372,2013,05-Dec-13,Unprovoked,"Puncture wounds to hand, laceration to leg",N
373,2013,02-Dec-13,Unprovoked,FATAL,Y
374,2013,30-Nov-13,Unprovoked,FATAL,Y
375,2013,29-Nov-13,Unprovoked,Right calf bitten,N
376,2013,23-Nov-13,Unprovoked,FATAL,Y
377,2013,22-Nov-13,Unprovoked,"No injury, board bitten",N
378,2013,12-Nov-13,Unprovoked,"No injury, board bumped by shark",N
379,2013,10-Nov-13,Provoked,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N
380,2013,07-Nov-13,Unprovoked,"No injury, swim fin bitten",N
381,2013,07-Nov-13,Unprovoked,Foot bitten,N
382,2013,31-Oct-13,Unprovoked,Severe bite to right calf & anklel,N
383,2013,28-Oct-13,Unprovoked,Lacerations to right arm,N
384,2013,26-Oct-13,Unprovoked,Right leg severed,N
385,2013,26-Oct-13,Unprovoked,"No injury, swim fin shredded",N
386,2013,24-Oct-13,Unprovoked,Injuries to right foot,N
387,2013,23-Oct-13,Unprovoked,"3"" laceration to left hip",N
388,2013,20-Oct-13,Unprovoked,"No injury, shark bit surfboard",N
389,2013,19-Oct-13,Unprovoked,Bitten on left calf & foot,N
390,2013,11-Oct-13,Unprovoked,FATAL,Y
391,2013,08-Oct-13,Unprovoked,"Injuries to torso, head and face",N
