,Outlier,userId_x,userId_y,CommentCount,DownVotes,Reputation,Score,UpVotes,ViewCount,Views,postId
613,Reputation,887,213.0,1,4,18187,3,230,723,1660,887
617,Reputation,900,,0,0,1054,1,221,0,87,900
624,Reputation,913,59.0,2,0,262,3,3,600,27,913
626,Reputation,919,287.0,0,779,87393,1,11273,0,20932,919
631,Reputation,930,88.0,2,214,31170,1,10523,0,5529,930
651,Reputation,959,183.0,0,0,326,2,1,0,19,959
653,Reputation,961,582.0,0,3,620,10,86,1991,73,961
656,Reputation,966,334.0,2,0,1290,2,244,0,137,966
662,Reputation,977,210.0,0,0,423,2,13,373,65,977
672,Reputation,994,,0,1,323,6,9,0,65,994
674,Reputation,996,603.0,0,0,364,13,10,0,68,996
680,Reputation,1005,36.0,1,0,3679,10,325,0,870,1005
693,Reputation,1028,608.0,0,2,360,10,30,3899,45,1028
699,Reputation,1036,557.0,2,43,8236,14,11442,0,1305,1036
704,Reputation,1048,247.0,2,0,468,8,28,0,135,1048
706,Reputation,1050,1356.0,3,2,478,9,39,0,53,1050
721,Reputation,1080,572.0,0,1,1597,1,81,0,188,1080
724,Reputation,1084,642.0,0,1,276,4,42,667,45,1084
731,Reputation,1098,647.0,1,0,305,3,69,0,48,1098
735,Reputation,1102,,2,0,329,0,15,0,55,1102
738,Reputation,1106,88.0,0,2,2410,4,202,0,140,1106
739,Reputation,1107,,0,1,506,1,35,0,87,1107
740,Reputation,1108,442.0,0,1,3555,4,347,0,386,1108
743,Reputation,1112,652.0,9,0,326,11,24,5715,36,1112
748,Reputation,1118,,3,2,935,0,88,0,278,1118
749,Reputation,1119,,0,0,678,2,10,0,28,1119
752,Reputation,1122,419.0,0,0,1544,5,0,0,196,1122
754,Reputation,1124,334.0,0,7,3000,0,140,0,456,1124
756,Reputation,1126,660.0,5,2,299,10,9,387,30,1126
769,Reputation,1146,668.0,1,6,1086,3,73,0,189,1146
773,Reputation,1150,159.0,3,0,585,36,25,0,56,1150
777,Reputation,1154,251.0,0,3,386,9,252,0,137,1154
800,Reputation,1191,686.0,0,1,2768,1,260,0,93,1191
803,Reputation,1195,687.0,1,0,442,5,13,237,34,1195
813,Reputation,1215,698.0,0,0,339,2,18,139,40,1215
815,Reputation,1219,702.0,0,2,353,8,13,0,54,1219
817,Reputation,1224,,3,0,437,2,5,153,39,1224
820,Reputation,1229,442.0,0,0,526,3,11,0,34,1229
837,Reputation,1265,643.0,1,0,451,2,19,0,110,1265
841,Reputation,1270,749.0,0,0,639,3,42,426,83,1270
854,Reputation,1291,8.0,5,0,303,11,15,0,214,1291
866,Reputation,1307,247.0,0,10,4128,2,600,0,5025,1307
876,Reputation,1320,778.0,0,0,330,3,73,0,67,1320
891,Reputation,1347,521.0,0,0,1775,10,58,0,126,1347
893,Reputation,1351,789.0,0,0,572,5,185,0,171,1351
894,Reputation,1352,144.0,0,7,5859,10,595,864,783,1352
896,Reputation,1355,114.0,7,0,286,5,23,324,26,1355
897,Reputation,1356,114.0,2,1,745,51,115,0,129,1356
908,Reputation,1378,71.0,2,0,327,8,35,219,29,1378
910,Reputation,1381,795.0,0,34,3533,4,910,0,299,1381
913,Reputation,1389,189.0,0,0,262,4,5,1387,41,1389
914,Reputation,1390,485.0,2,34,10476,4,602,0,1165,1390
919,Reputation,1397,603.0,1,0,258,2,2,0,17,1397
936,Reputation,1434,830.0,1,0,299,3,18,0,55,1434
938,Reputation,1436,830.0,0,0,443,29,1,0,22,1436
944,Reputation,1443,521.0,2,0,672,6,149,0,91,1443
945,Reputation,1445,223.0,0,0,278,4,41,0,33,1445
950,Reputation,1456,251.0,4,0,265,8,8,0,36,1456
964,Reputation,1475,,0,2,347,13,10,2537,12,1475
976,Reputation,1496,8.0,0,0,559,11,49,0,114,1496
979,Reputation,1499,22.0,2,1,1282,3,189,0,146,1499
988,Reputation,1513,125.0,0,3,809,1,12,0,84,1513
1001,Reputation,1537,8.0,3,1,288,7,10,0,30,1537
1002,Reputation,1538,650.0,2,0,370,13,37,1029,25,1538
1004,Reputation,1540,870.0,0,4,1794,4,70,4100,129,1540
1009,Reputation,1549,8.0,0,8,1067,2,7,0,93,1549
1016,Reputation,1566,881.0,0,0,355,2,10,0,23,1566
1017,Reputation,1569,511.0,4,2,3015,5,151,0,188,1569
1019,Reputation,1573,319.0,8,0,673,4,26,0,162,1573
1024,Reputation,1583,196.0,0,4,352,3,12,357,55,1583
1049,Reputation,1636,196.0,2,0,362,3,12,0,45,1636
1052,Reputation,1643,442.0,3,0,615,8,195,0,122,1643
1059,Reputation,1657,919.0,0,6,1058,4,44,0,204,1657
1066,Reputation,1670,110.0,0,0,1589,1,35,0,209,1670
1070,Reputation,1679,,0,8,3536,0,164,0,382,1679
1084,Reputation,1709,198.0,5,5,1094,4,160,858,230,1709
1086,Reputation,1720,159.0,4,0,441,7,38,0,65,1720
1094,Reputation,1737,,1,0,459,10,32,2923,38,1737
1095,Reputation,1739,279.0,2,8,8772,10,154,0,881,1739
1106,Reputation,1760,74.0,0,0,335,36,8,0,7,1760
1109,Reputation,1763,183.0,7,0,592,16,19,0,212,1763
1110,Reputation,1764,144.0,6,8,7461,17,1264,1101,764,1764
1111,Reputation,1765,88.0,0,1,481,8,213,0,29,1765
1125,Reputation,1795,919.0,2,1,352,18,5,0,40,1795
1133,Reputation,1815,174.0,4,0,256,21,12,5593,25,1815
1135,Reputation,1818,588.0,0,1,425,11,18,11533,54,1818
1168,Reputation,1871,601.0,2,0,422,3,36,0,34,1871
1184,Reputation,1893,5.0,0,2,1077,10,42,0,77,1893
1185,Reputation,1894,334.0,0,0,269,7,5,0,40,1894
1196,Reputation,1909,183.0,2,6,6524,6,150,0,681,1909
1198,Reputation,1913,,0,0,1175,5,65,0,98,1913
1200,Reputation,1916,919.0,2,0,376,3,6,0,11,1916
1208,Reputation,1934,919.0,1,11,4957,1,329,0,578,1934
1215,Reputation,1945,251.0,2,0,674,6,7,0,191,1945
1218,Reputation,1950,88.0,0,0,345,2,7,0,73,1950
1234,Reputation,1973,603.0,0,0,387,2,18,0,74,1973
1237,Reputation,1977,881.0,0,0,830,3,111,0,124,1977
1239,Reputation,1979,183.0,0,7,1588,7,66,0,141,1979
1244,Reputation,1991,666.0,3,1,668,2,68,0,120,1991
1261,Reputation,2020,183.0,0,0,565,2,81,0,80,2020
1268,Reputation,2036,251.0,9,1,301,7,105,0,65,2036
1271,Reputation,2040,930.0,0,12,790,9,262,0,428,2040
1274,Reputation,2044,,0,0,258,52,21,0,15,2044
1275,Reputation,2046,,0,0,268,6,24,0,29,2046
1285,Reputation,2067,442.0,6,0,315,12,68,1787,78,2067
1289,Reputation,2073,795.0,5,0,756,2,110,0,53,2073
1290,Reputation,2074,919.0,1,0,1239,8,2,0,124,2074
1300,Reputation,2091,862.0,0,0,631,3,10,933,67,2091
1312,Reputation,2111,795.0,4,7,915,7,71,990,44,2111
1314,Reputation,2116,840.0,0,43,18088,8,3274,5803,3899,2116
1318,Reputation,2126,,1,5,4536,4,642,0,798,2126
1320,Reputation,2129,25.0,1,5,3375,15,92,0,276,2129
1330,Reputation,2144,364.0,0,0,471,2,4,0,23,2144
1334,Reputation,2148,401.0,0,0,450,2,6,0,54,2148
1336,Reputation,2150,74.0,4,0,1969,17,62,0,196,2150
1342,Reputation,2166,5.0,0,0,397,4,4,0,21,2166
1375,Reputation,2221,795.0,3,0,283,3,2,0,22,2221
1393,Reputation,2252,1107.0,0,1,457,4,83,0,34,2252
1395,Reputation,2260,196.0,2,0,287,1,60,0,7,2260
1402,Reputation,2280,1107.0,4,0,276,4,1,0,14,2280
1413,Reputation,2310,183.0,0,2,3016,1,220,0,2342,2310
1458,Reputation,2392,196.0,3,7,11860,4,883,0,2359,2392
1464,Reputation,2403,795.0,0,0,378,1,5,0,29,2403
1466,Reputation,2407,8.0,0,0,348,2,2,0,28,2407
1475,Reputation,2425,743.0,0,3,1230,7,51,0,238,2425
1488,Reputation,2456,5.0,4,0,376,16,18,0,40,2456
1508,Reputation,2513,266.0,3,0,399,6,68,1430,63,2513
1515,Reputation,2526,98.0,1,0,356,-1,2,0,54,2526
1522,Reputation,2539,,10,0,521,3,1,0,18,2539
1526,Reputation,2546,666.0,1,3,949,18,17,0,77,2546
1553,Reputation,2591,144.0,1,0,266,7,0,2988,6,2591
1554,Reputation,2592,1260.0,2,20,802,3,9,1916,323,2592
1580,Reputation,2635,1272.0,4,1,393,3,38,3271,75,2635
1585,Reputation,2645,251.0,2,0,3561,28,613,0,585,2645
1592,Reputation,2658,919.0,0,0,523,2,6,0,21,2658
1594,Reputation,2660,919.0,2,2,485,1,54,0,113,2660
1597,Reputation,2665,930.0,0,0,279,11,10,0,39,2665
1621,Reputation,2714,1307.0,0,1,501,0,74,0,56,2714
1623,Reputation,2719,1307.0,7,0,1273,16,439,0,146,2719
1627,Reputation,2728,253.0,0,0,926,4,7,1259,67,2728
1640,Reputation,2750,603.0,0,3,821,7,187,0,101,2750
1651,Reputation,2772,30.0,5,0,287,15,17,1544,25,2772
1652,Reputation,2773,930.0,0,4,485,6,11,0,76,2773
1654,Reputation,2775,30.0,3,2,2430,2,156,0,155,2775
1669,Reputation,2798,88.0,0,2,1942,3,366,0,189,2798
1682,Reputation,2817,887.0,1,8,9604,1,1437,0,1244,2817
1684,Reputation,2820,253.0,4,0,307,1,12,0,14,2820
1686,Reputation,2824,1356.0,0,0,306,13,26,1590,28,2824
1691,Reputation,2833,1352.0,4,2,281,7,8,0,25,2833
1700,Reputation,2849,1251.0,5,0,576,3,18,585,76,2849
1707,Reputation,2860,881.0,0,7,3359,3,134,1001,467,2860
1722,Reputation,2898,,0,2,1102,2,60,0,105,2898
1733,Reputation,2912,795.0,0,0,263,1,107,0,83,2912
1737,Reputation,2917,1381.0,2,0,308,10,17,1436,8,2917
1740,Reputation,2921,1036.0,0,48,1177,7,804,0,153,2921
1748,Reputation,2942,442.0,1,0,295,6,16,0,27,2942
1754,Reputation,2956,364.0,0,0,364,17,27,439,61,2956
1755,Reputation,2958,,2,6,10470,2,210,541,655,2958
1760,Reputation,2965,521.0,0,2,420,1,33,0,33,2965
1762,Reputation,2970,1270.0,2,212,13647,2,2468,0,5441,2970
1764,Reputation,2973,666.0,0,0,493,1,17,0,27,2973
1766,Reputation,2975,957.0,2,1,531,5,10,1153,27,2975
1769,Reputation,2981,1007.0,0,1,1091,6,915,1227,84,2981
1782,Reputation,3014,88.0,0,1,345,0,34,0,126,3014
1786,Reputation,3019,88.0,0,57,8045,0,228,0,500,3019
1787,Reputation,3025,1080.0,0,0,254,3,26,0,21,3025
1788,Reputation,3026,,0,0,844,2,1,0,43,3026
1806,Reputation,3058,71.0,6,1,1123,1,124,0,117,3058
1816,Reputation,3077,401.0,0,1,357,2,58,0,73,3077
1828,Reputation,3098,,0,0,282,1,8,0,20,3098
1840,Reputation,3125,582.0,10,0,582,3,3,0,56,3125
1848,Reputation,3140,,1,2,259,2,31,2884,69,3140
1877,Reputation,3203,,0,0,377,2,0,0,6,3203
1879,Reputation,3205,919.0,3,0,261,5,2,0,13,3205
1906,Reputation,3248,253.0,2,0,473,10,48,0,1055,3248
1917,Reputation,3262,253.0,0,7,2090,23,42,2923,202,3262
1920,Reputation,3265,919.0,0,0,764,6,61,0,84,3265
1923,Reputation,3269,251.0,0,0,761,3,15,0,56,3269
1929,Reputation,3277,183.0,0,12,13898,2,869,0,2866,3277
1930,Reputation,3280,930.0,0,0,287,3,7,0,22,3280
1938,Reputation,3293,930.0,4,11,644,4,116,0,53,3293
1945,Reputation,3301,1499.0,0,0,533,1,12,0,44,3301
1948,Reputation,3306,1124.0,0,0,277,2,19,0,16,3306
1950,Reputation,3309,253.0,0,0,416,3,100,272,32,3309
1951,Reputation,3310,919.0,1,0,735,5,69,0,98,3310
1962,Reputation,3330,251.0,0,1,324,4,20,0,15,3330
1963,Reputation,3331,179.0,6,1,1068,25,30,3894,67,3331
1982,Reputation,3369,1514.0,0,0,1162,0,25,571,146,3369
1986,Reputation,3376,603.0,3,2,929,19,41,0,86,3376
1990,Reputation,3382,88.0,2,24,8009,1,183,0,3559,3382
1997,Reputation,3396,919.0,6,0,696,4,12,0,30,3396
2003,Reputation,3411,930.0,3,4,703,8,34,0,248,3411
2014,Reputation,3432,919.0,2,0,995,6,79,0,82,3432
2022,Reputation,3443,401.0,1,0,275,6,19,0,37,3443
2029,Reputation,3454,251.0,2,3,457,5,66,0,75,3454
2036,Reputation,3467,930.0,0,0,340,19,62,0,11,3467
2043,Reputation,3488,1499.0,1,4,1463,1,427,0,221,3488
2044,Reputation,3489,1224.0,0,2,737,5,51,3416,122,3489
2062,Reputation,3525,442.0,1,6,909,8,39,0,75,3525
2072,Reputation,3541,,1,0,366,0,16,0,9,3541
2079,Reputation,3552,1569.0,0,0,270,4,4,447,45,3552
2087,Reputation,3567,485.0,1,4,2951,9,88,0,309,3567
2089,Reputation,3572,449.0,2,2,494,2,56,0,133,3572
2092,Reputation,3577,919.0,0,0,688,4,19,0,23,3577
2094,Reputation,3582,1569.0,10,2,701,-1,44,0,57,3582
2103,Reputation,3591,449.0,4,0,304,1,55,0,30,3591
2106,Reputation,3595,315.0,2,0,913,20,2,7263,653,3595
2110,Reputation,3601,439.0,0,2,3773,4,360,0,343,3601
2128,Reputation,3640,1381.0,3,2,549,6,135,2178,68,3640
2143,Reputation,3671,1607.0,2,0,429,3,7,0,57,3671
2158,Reputation,3700,1595.0,0,2,373,0,31,0,39,3700
2175,Reputation,3732,1036.0,3,0,398,4,14,0,16,3732
2184,Reputation,3748,603.0,0,7,1391,2,237,0,589,3748
2201,Reputation,3786,449.0,0,0,418,1,2,0,39,3786
2206,Reputation,3794,183.0,6,25,705,0,90,0,97,3794
2215,Reputation,3805,1645.0,2,0,759,3,0,331,32,3805
2216,Reputation,3807,919.0,1,1,367,2,34,0,67,3807
2226,Reputation,3826,,0,145,1460,4,1883,3530,390,3826
2232,Reputation,3835,1636.0,0,1,1329,3,157,75,119,3835
2256,Reputation,3874,1663.0,2,0,1525,11,49,5977,262,3874
2272,Reputation,3903,1501.0,0,1,476,1,363,0,181,3903
2274,Reputation,3911,1393.0,0,7,2481,21,337,1519,456,3911
2279,Reputation,3919,656.0,0,0,857,1,61,0,98,3919
2309,Reputation,3984,1763.0,0,0,357,11,6,8456,39,3984
2345,Reputation,4054,,3,0,495,1,0,0,38,4054
2351,Reputation,4062,253.0,4,0,282,9,5,3567,63,4062
2382,Reputation,4110,1764.0,0,0,597,2,43,0,44,4110
2404,Reputation,4147,,7,0,290,4,23,0,53,4147
2412,Reputation,4164,495.0,1,2,613,2,125,0,66,4164
2421,Reputation,4176,8.0,9,0,402,3,2,0,13,4176
2453,Reputation,4238,96.0,0,0,365,4,22,152,25,4238
2461,Reputation,4253,656.0,0,56,19585,0,155,0,6948,4253
2463,Reputation,4257,1329.0,3,6,6461,4,186,0,434,4257
2484,Reputation,4290,1808.0,0,0,517,6,40,0,64,4290
2513,Reputation,4325,,0,0,507,3,36,254,83,4325
2517,Reputation,4329,449.0,1,0,546,5,2,0,38,4329
2523,Reputation,4337,1922.0,2,2,699,9,75,697,60,4337
2539,Reputation,4360,578.0,0,0,404,8,68,707,62,4360
2549,Reputation,4370,,2,0,253,1,6,0,19,4370
2592,Reputation,4426,183.0,1,1,1912,4,126,0,336,4426
2638,Reputation,4479,449.0,1,3,1376,2,449,0,169,4479
2643,Reputation,4485,1381.0,0,17,881,4,492,660,61,4485
2651,Reputation,4496,990.0,1,0,1015,2,2,696,190,4496
2658,Reputation,4505,930.0,0,4,25123,6,582,0,1245,4505
2672,Reputation,4521,1808.0,2,1,275,0,66,0,16,4521
2681,Reputation,4531,1909.0,0,0,290,7,18,0,26,4531
2698,Reputation,4552,1307.0,5,0,361,16,0,0,20,4552
2705,Reputation,4559,1818.0,2,0,724,0,72,0,64,4559
2724,Reputation,4581,930.0,0,0,405,6,18,0,36,4581
2738,Reputation,4598,1766.0,6,11,8814,1,314,0,516,4598
2799,Reputation,4673,439.0,4,0,476,7,9,0,46,4673
2822,Reputation,4701,2456.0,3,0,408,2,12,0,90,4701
2848,Reputation,4733,557.0,2,5,773,2,7,218,68,4733
2852,Reputation,4737,2060.0,0,15,829,4,115,3877,110,4737
2862,Reputation,4751,5792.0,0,0,334,1,103,0,85,4751
2865,Reputation,4754,196.0,1,0,833,1,46,0,39,4754
2876,Reputation,4769,795.0,0,0,596,2,17,0,47,4769
2896,Reputation,4797,,2,0,466,1,7,0,7,4797
2908,Reputation,4810,2101.0,0,0,330,11,3,4744,104,4810
2909,Reputation,4812,253.0,3,4,2052,10,505,2033,159,4812
2915,Reputation,4820,1573.0,2,0,310,2,24,0,8,4820
2922,Reputation,4829,795.0,0,1,637,0,146,0,32,4829
2935,Reputation,4843,2040.0,0,0,543,3,32,531,102,4843
2947,Reputation,4856,1637.0,2,412,17791,3,2122,654,5927,4856
2951,Reputation,4862,485.0,0,3,3544,3,358,0,460,4862
2953,Reputation,4864,485.0,3,0,377,2,25,0,55,4864
2958,Reputation,4872,,4,15,1183,3,157,248,140,4872
2967,Reputation,4881,,0,0,391,3,3,0,15,4881
2993,Reputation,4908,1314.0,5,6,328,5,73,248,36,4908
3001,Reputation,4916,1909.0,2,8,587,4,205,0,46,4916
3007,Reputation,4925,696.0,0,0,308,5,73,0,11,4925
3064,Reputation,5003,1390.0,12,0,464,5,428,0,90,5003
3077,Reputation,5020,2144.0,1,0,929,28,17,0,82,5020
3081,Reputation,5025,1215.0,0,0,644,9,13,575,139,5025
3106,Reputation,5055,919.0,1,11,669,3,89,0,74,5055
3152,Reputation,5111,,0,0,275,6,6,370,58,5111
3195,Reputation,5172,2271.0,2,0,356,4,7,1847,21,5172
3198,Reputation,5176,159.0,4,1,742,5,28,0,175,5176
3200,Reputation,5179,1709.0,3,0,468,0,12,0,21,5179
3210,Reputation,5191,2189.0,3,0,583,2,57,73,286,5191
3245,Reputation,5234,919.0,3,2,739,3,14,0,49,5234
3261,Reputation,5256,1390.0,0,1,1621,42,174,0,249,5256
3268,Reputation,5264,,0,1,911,0,75,0,88,5264
3282,Reputation,5280,930.0,3,1,480,41,23,0,85,5280
3289,Reputation,5289,2148.0,7,5,708,7,32,0,75,5289
3295,Reputation,5296,5.0,1,1,392,24,26,0,16,5296
3315,Reputation,5321,1371.0,0,0,510,4,47,2134,38,5321
3328,Reputation,5339,2073.0,0,13,1863,1,224,0,238,5339
3370,Reputation,5387,82.0,3,0,435,14,23,4277,20,5387
3386,Reputation,5404,264.0,0,0,263,2,15,0,30,5404
3387,Reputation,5405,1739.0,0,0,407,2,40,0,164,5405
3405,Reputation,5429,22.0,1,1,1855,3,406,0,294,5429
3417,Reputation,5443,253.0,2,0,310,3,15,544,27,5443
